Perguntas,Alternativas,Resposta,Ano
"O TCE/PB aplicou, ao prefeito de um município do estado, multa em razão de ineficiências verificadas e não corrigidas durante o acompanhamento e fiscalização de uma execução contratual, as quais geraram prejuízos ao ente municipal.Nessa situação hipotética, a execução da multa competirá ao","a) município em consideração, observando-se as regras para a execução de títulos executivos extrajudiciais. | b) Poder Legislativo municipal, mediante a instauração de processo cognitivo no TJ/PB. | c) TCE/PB, no âmbito do mesmo processo, em atenção ao denominado sincretismo processual. | d) MP, no âmbito do próprio TCE/PB. | e) estado da Paraíba, observando-se as regras para a execução de títulos executivos judiciais.",a,2018
"A administração pública pode anular e revogar os seus atos, independentemente de solicitação ao Poder Judiciário. Esse poder-dever está consagrado na Súmula n.º 346 do STF, que afirma que a administração pública pode declarar a nulidade dos seus próprios atos, e na Súmula n.º 473 do STF, que afirma que a administração pode anular os seus próprios atos, quando eivados de vícios que os tornem ilegais, ou revogá-los, por motivo de conveniência e oportunidade.
O poder-dever descrito anteriormente corresponde ao princípio da",a) especialidade. | b) legalidade. | c) moralidade administrativa. | d) supremacia do interesse público. | e) autotutela.,e,2018
"Se a administração pública de um estado da Federação tiver de contratar um grupo de dança consagrado pela mídia local para festividades do aniversário da capital desse estado, a contratação, nesse caso, deverá ocorrer mediante",a) concurso. | b) licitação na modalidade convite. | c) licitação na modalidade tomada de preços. | d) dispensa de licitação em razão da escolha do executante. | e)  inexigibilidade de licitação por previsão legal.,e,2018
"Com relação à disciplina dos bens públicos, assinale a opção correta.","a) À exceção dos bens dominiais não afetados a qualquer finalidade pública, os bens públicos são impenhoráveis. | b) A ocupação irregular de bem público não impede que o particular retenha o imóvel até que lhe seja paga indenização por acessões ou benfeitorias por ele realizadas, conforme entendimento do Superior Tribunal de Justiça. | c) Aos municípios pertencem as terras devolutas não compreendidas entre aquelas pertencentes à União. | d) As terras tradicionalmente reservadas aos índios são consideradas bens públicos de uso especial da União. | e) Bens de uso comum do povo, destinados à coletividade em geral, não podem, em nenhuma hipótese, ser privativamente utilizados por particulares.",d,2018
"De acordo com a doutrina majoritária, os elementos fundamentais do ato administrativo são o(a)","a) forma, a competência, a atribuição, a finalidade e o objeto. | b) objeto, a finalidade, o motivo, a competência e a tipicidade. | c) competência, a forma, o objeto, o motivo e a finalidade. | d) motivo, o objeto, a finalidade, a autoexecutoriedade e a força coercitiva. | e) objeto, o motivo, a competência, a finalidade e a abrangência.",c,2018
"Julgue os itens a seguir, relativos a atributos, espécies e anulação dos atos administrativos.A execução, de ofício, pela administração pública de medidas que concretizem o objeto de um ato administrativo caracteriza o atributo da imperatividade.",Errado | Certo,e,2018
"A respeito de concessão administrativa, julgue os itens subsecutivos.Tratando-se de concessão administrativa, a administração pública é usuária direta ou indireta da prestação de serviços, enquanto, no caso de concessão patrocinada, há cobrança de tarifa dos usuários particulares.",Errado | Certo,c,2018
"Julgue os itens a seguir, relativos a atributos, espécies e anulação dos atos administrativos.Regulamento e ordem de serviço são exemplos, respectivamente, de ato administrativo normativo e de ato administrativo ordinatório.",Errado | Certo,c,2018
"Com relação ao controle no âmbito da administração pública, julgue os itens seguintes.A competência do Poder Judiciário quanto ao controle restringe-se ao mérito e à legalidade do ato impugnado.",Errado | Certo,e,2018
"Para a construção de um prédio público, foi contratada uma empresa pelo regime de empreitada por preço global, mediante licitação regida pela Lei n.º 8.666/1993. Durante a execução do contrato, a fiscalização determinou a mudança de especificação do piso, de vinílico para porcelanato, visando à melhor adequação técnica, o que gerou um aditivo contratual de acréscimo de valores. Além disso, a administração atrasou o pagamento em sessenta dias, período após o qual a empresa contratada decidiu unilateralmente paralisar a obra até a regularização dos pagamentos. Por falta de recursos para concluir a obra, a administração decidiu pela rescisão contratual.

Acerca dessa situação hipotética, julgue os itens a seguir à luz da lei nela mencionada.
A contratada atuou de forma legalmente correta ao paralisar unilateralmente a obra até a regularização dos débitos, pois ela tem o direito de fazê-lo quando o atraso de pagamento é superior a sessenta dias.",Errado | Certo,e,2018
"Acerca da organização da administração direta e indireta, centralizada e descentralizada, julgue os itens a seguir.A empresa pública, entidade da administração indireta, possui personalidade jurídica de direito público.",Errado | Certo,e,2018
"Acerca de licitação e contratos administrativos, julgue os itens que se seguem.É vedado o estabelecimento de contrato administrativo por prazo indeterminado.",Errado | Certo,c,2018
"Em relação à anulação e à revogação dos atos administrativos, julgue os itens seguintes.A revogação produz efeitos retroativos.",Errado | Certo,e,2018
"Julgue os itens a seguir, referentes a conceitos, tipos e formas de controle na administração pública.Os tipos e as formas de controle da atividade administrativa variam segundo o poder, o órgão ou a autoridade que o exercita ou o fundamenta.",Errado | Certo,c,2018
"Julgue o item a seguir, relativos ao regime jurídico dos servidores públicos civis da União, às carreiras dos servidores do Poder Judiciário da União e à responsabilidade civil do Estado.No caso de acumulação ilegal de cargos públicos, o servidor será notificado para apresentar opção e, se ele permanecer omisso, será instaurado procedimento administrativo disciplinar sumário conduzido por comissão composta por dois servidores estáveis.",Errado | Certo,c,2018
"João, servidor público civil, motorista do Exército brasileiro, enquanto conduzia veículo oficial, no exercício da sua função, colidiu com o automóvel de Maria, que não possui qualquer vínculo com o poder público. Após a devida apuração, ficou provado que os dois condutores agiram com culpa.A partir dessa situação hipotética e considerando a doutrina majoritária referente à responsabilidade civil do Estado, julgue o item que se segue.A União tem direito de regresso em face de João, considerando que, no caso, a responsabilidade do agente público é subjetiva.",Errado | Certo,c,2018
