Perguntas,Alternativas,Resposta,Ano
"Um Município pretende se desfazer de um prédio onde funciona uma unidade escolar, mediante alienação por meio de licitação, pois ela se insere em região que se tornou bastante valorizada para empreendimentos imobiliários. Editou decreto autorizando a licitação. Esse ato","a) é ilegal, considerando que a alienação depende de lei autorizando a alienação e desafetando o bem de uso especial. | b) é válido e regular, ficando condicionado à prévia desocupação do imóvel. | c) é inválido, não podendo ser considerado o resultado da licitação, independentemente de anulação. | d) é aderente ao princípio da eficiência, tendo em vista que o interesse público será mais e melhor atendido com a receita oriunda da alienação e destinada a outras políticas públicas. | e) deve ser revogado, pois viola a norma legal que exige avaliação prévia e desafetação para somente então o bem poder ser alienado.",a,2018
As relações e os negócios jurídicos realizados pela Administração pública,"a) são sempre celebrados por meio de contratos administrativos, a fim de garantir as prerrogativas inerentes à Administração pública. | b) têm natureza jurídica de contrato administrativo, ainda que juridicamente utilizem a forma de outro instrumento jurídico. | c) garantem a outra parte a manutenção do equilíbrio econômico-financeiro do contrato, quando celebrados por meio de contratos administrativos. | d) dependem de concordância das duas partes para serem alterados unilateralmente, sejam eles regidos pelo direito público ou pelo direito privado. | e) conferem prerrogativas à Administração pública para alterar ou extinguir os instrumentos, independentemente do regime jurídico a que se submetam.",c,2018
"A escolha entre as modalidades de licitação, de acordo com a Lei nº 8.666/1993,","a) dá-se sempre por opção discricionária do administrador, que deve considerar a natureza e a relevância da contratação em prol do interesse público. | b) dá-se por determinação expressa da lei, cabendo a escolha ao administrador dentre as diversas modalidades existentes, no caso de omissão legal. | c) é estabelecida expressamente somente em virtude do valor da contratação, aplicando-se, nos demais casos, a modalidade que melhor atender as finalidades da Administração pública. | d) difere conforme o valor ou o bem objeto do certame, aplicando-se o leilão na omissão legal ou, a critério do administrador, a concorrência. | e) pode se dar em razão do valor da contratação ou da natureza do objeto, aplicando-se a concorrência nos casos de omissão.",e,2018
"Cargos e empregos públicos recebem da Constituição Federal de 1998 o tratamento de unidades autônomas de atribuições, para o desempenho das quais","a) é exigida a aprovação em concurso público de provas ou de provas e títulos, regra de caráter absoluto, não sujeita a exceções. | b) é exigida a aprovação em concurso público de provas ou de provas e títulos, ressalvadas as nomeações para cargo em comissão declarado em lei de livre nomeação e exoneração e as contratações por tempo determinado, previstas em lei, para atender à necessidade temporária de excepcional interesse público. | c) é exigida a aprovação em concurso público de provas ou de provas e títulos, inclusive para as contratações por tempo determinado e para as nomeações para cargo em comissão. | d) não é exigida a aprovação em concurso público de provas ou de provas e títulos, mas em processo seletivo simplificado, em razão da constitucionalização dos princípios da razoabilidade e eficiência na gestão da coisa pública. | e) é exigida a aprovação em concurso público de provas ou de provas e títulos para a primeira investidura, não o sendo para as demais, em que o acesso se dá por concurso interno.",b,2018
"Considere que, hipoteticamente, um integrante de Comissão de Licitação do Poder Judiciário federal tenha percebido vantagem econômica para liberar, antes de sua publicação, cópia de edital de licitação de obra pública a determinada empresa interessada em participar do certame. A conduta do membro da Comissão","a) não configura ato de improbidade, pois, para tanto, é necessário prova de efetivo prejuízo à competitividade. | b) não configura ato de improbidade, por se tratar de conduta praticada por servidor do Poder judiciário, ao qual não se aplica a denominada Lei de improbidade administrativa. | c) configura ato de improbidade administrativa, que causa prejuízo ao erário, punível na modalidade culposa ou dolosa. | d) somente configurará ato de improbidade administrativa na hipótese de haver acréscimo do preço ofertado que decorra do conhecimento prévio do edital. | e) configura ato de improbidade administrativa, punível na modalidade dolosa e, na culposa, apenas se houver comprovação de prejuízo.",c,2018
"Considere hipoteticamente um servidor público estadual, detentor de cargo público efetivo, que tenha praticado, no exercício de suas funções, conduta que em tese configura falta funcional de natureza grave. Nesta hipótese, a Administração","a) tem a faculdade de apurar a infração e de aplicar a penalidade prevista em lei, com fundamento no poder de polícia administrativa. | b) pode ou não aplicar sanção, mesmo que comprovada a falta funcional atribuída ao servidor, isso em razão de sua natureza imprecisa, que autoriza juízo discricionário. | c) tem a faculdade de, após apurados os fatos, aplicar ou não a sanção correspondente, em razão do poder disciplinar, que é discricionário e decorre do poder hierárquico. | d) tem o dever de aplicar a pena cabível, independentemente da apuração por meio de procedimento legal, em razão de o servidor estar sujeito à disciplina interna administrativa. | e) tem o dever de apurar os fatos por meio do processo administrativo adequado, e, comprovada a materialidade e autoria da infração, aplicar a pena cabível.",e,2018
"Considere hipoteticamente um ato administrativo exarado por autoridade incompetente. Em relação aos denominados atributos dos atos administrativos, o referido ato","a) não produzirá efeitos, tampouco obrigará terceiros, independentemente da sua invalidação, ante o princípio que desobriga o cumprimento de ordens manifestamente ilegais. | b) não produzirá efeitos, tampouco obrigará terceiros, independentemente da sua invalidação, o que se denomina imperatividade. | c) produzirá efeitos e deverá ser cumprido, a menos que decretada, pelo Poder Judiciário, sua invalidade, sendo vedada a autotutela na hipótese, o que se denomina executoriedade. | d) produzirá efeitos e deverá ser cumprido, enquanto não decretada, pela própria Administração ou pelo Poder Judiciário, sua invalidade, o que se denomina presunção de legitimidade ou veracidade. | e) produzirá efeitos e deverá ser cumprido, enquanto não decretada, pela própria Administração ou pelo Poder Judiciário, sua invalidade, o que se denomina autoexecutoriedade.",d,2018
"Considerando o disposto na Lei nº 8.429/92 e no Estatuto de Ética Profissional do Servidor do TRT da 6ª Região, o servidor que fornecer informações sigilosas a um licitante, dando-lhe conhecimento de fatos que lhe conferem vantagem na participação do certame,","a) pratica ato de improbidade que gera enriquecimento ilícito, o que absorve eventual infração disciplinar no caso de conduta dolosa. | b) pratica conduta antiética, mas não incorre em ato de improbidade, para cuja configuração é indispensável a demonstração de prejuízo ao erário. | c) pratica ato de improbidade, na modalidade que causa prejuízo ao erário, dispensada prova do dolo e sem prejuízo da configuração de conduta antiética. | d) deve ser processado por ato de improbidade e, após a apuração da conduta, poderá ser iniciado processo disciplinar por conduta antiética e violação dos deveres profissionais. | e) pode ser processado por ato de improbidade na modalidade que causa prejuízo ao erário, desde que seja comprovada conduta dolosa do servidor, ficando afastada a necessidade de processo por conduta antiética.",c,2018
"O Ministério Público de determinado Estado ingressou com ação de improbidade administrativa contra agente público, requerendo, dentre outros pedidos, o ressarcimento de dano por ter havido lesão ao patrimônio público. Em sua defesa, sustentou o citado agente que sua conduta foi omissiva e culposa, pleiteando, assim, a improcedência da demanda. Nos termos da Lei de Improbidade Administrativa (Lei nº 8.429/1992),","a) o ressarcimento de dano causado ao erário não pode ser pleiteado em ação de improbidade, devendo ser manejada ação autônoma para tanto, sendo imprescindível para a condenação que a conduta do agente seja dolosa e omissiva. | b) a conduta omissiva afasta a obrigação de reparar o dano causado, independentemente de dolo ou culpa. | c) a conduta culposa afasta a obrigação de reparar o dano causado, independentemente de ter sido cometida por ação ou omissão. | d) apenas a conduta omissiva e culposa afasta a obrigatoriedade de reparar o dano causado. | e) a tese da defesa não afasta a obrigatoriedade de reparar o dano causado.",e,2018
"Considere:

I. Constituem exemplos de fatos administrativos a apreensão de mercadorias, a desapropriação de bens privados, a requisição de serviços ou bens privados, dentre outros.

II. A expressão fato jurídico é sinônima de fato administrativo, pois ambos englobam também os fatos simples, ou seja, aqueles que não repercutem na esfera de direitos, mas estampam evento material ocorrido no seio da Administração.

III. Fatos administrativos naturais são aqueles que se originam de fenômenos da natureza, cujos efeitos se refletem na órbita administrativa.

No que concerne aos fatos administrativos, está correto o que se afirma em","a) II e III, apenas. | b) I, II e III. | c) I e III, apenas. | d) II, apenas. | e) I, apenas.",c,2018
