Perguntas,Alternativas,Resposta,Ano
"À luz da legislação vigente e do entendimento dos tribunais superiores acerca de alimentos, assinale a opção correta.","a) O Ministério Público não tem legitimidade ativa para ajuizar ação de alimentos em proveito de crianças ou adolescentes: o ajuizamento dessa ação compete à Defensoria Pública ou ao advogado particular. | b) A obrigação de prestar alimentos não se transmite aos herdeiros, cessando o dever com a morte do alimentante. | c) O novo casamento do cônjuge devedor extingue a obrigação de prestar alimentos constante da sentença de divórcio. | d) Se o cônjuge credor contrair nova união estável, cessa o dever de prestar alimentos ao cônjuge devedor. | e) Julgada procedente a ação de investigação de paternidade, os alimentos são devidos desde a data da propositura da ação.",d,2018
"Um condenado faleceu e deixou como herança R$ 30.000 para seu filho, seu único herdeiro. Contudo, a sentença criminal pela qual o falecido foi condenado, além de determinar a pena privativa de liberdade, cumprida parcialmente em razão da morte, determinava a reparação do dano causado, no valor de R$ 50.000.Nessa situação hipotética, a obrigação de reparar o dano poderá ser","a) estendida ao herdeiro, que deverá saldá-la até o limite do patrimônio transferido. | b) extinta, pois se trata de pena personalíssima e intransferível. | c) executada contra o herdeiro pelo valor integral previsto na sentença, se ficar provado que ele renunciou à herança para fraudar credores. | d) anulada, bem como extinta a pena privativa de liberdade. | e) transferida ao herdeiro, que deverá saldá-la no valor integral previsto na sentença de condenação de seu pai.",a,2018
"De acordo com o Código Civil e considerando o entendimento doutrinário acerca das pessoas naturais, das obrigações e da prescrição e decadência, julgue o item a seguir.Nas obrigações de prestações sucessivas, a quitação da última parcela acarreta a presunção absoluta de que as anteriores foram pagas.",Errado | Certo,e,2018
"Francisco comprou, em janeiro de 2014, um lote de 240 m2 de Antônio, que se apresentou como proprietário do imóvel. Francisco construiu uma casa de alvenaria, instalando-se no local com sua família. Depois de três anos de posse mansa e pacífica, Danilo, o verdadeiro proprietário, ajuizou ação para reaver a posse do imóvel. Só então, Francisco descobriu que fora vítima de uma fraude, pois Antônio havia falsificado os documentos para induzi-lo a erro.Considerando essa situação hipotética, assinale a opção correta.","a) Francisco não poderá adquirir o terreno mediante pagamento de indenização a Danilo, ainda que a construção exceda consideravelmente o valor do terreno. | b) Não tendo observado a fraude no momento da contratação, Francisco não poderá pleitear indenização em face de Antônio. | c) Danilo perderá o terreno em favor de Francisco, cabendo-lhe apenas o direito à indenização. | d) Francisco adquiriu, em 2017, a propriedade do imóvel pela usucapião especial urbana, ficando, nesse caso, dispensado de pagar indenização a Danilo. | e) Francisco, que agira de boa-fé, perderá em favor de Danilo os direitos sobre as construções realizadas no terreno, devendo, no entanto, ser indenizado.",e,2018
"João, ao falecer, deixou Maria, sua esposa, com quem era casado sob o regime de comunhão parcial de bens, e dois filhos. Ao tempo do seu passamento, ele possuía alguns bens comuns com sua esposa e outros particulares.Nessa situação hipotética, conforme a jurisprudência dos tribunais superiores,Maria concorrerá na herança com os descendentes de João somente quanto aos bens particulares constantes no acervo hereditário.",Errado | Certo,c,2018
"Acerca dos direitos da personalidade, julgue o item que se segue.Ressalvadas as exceções previstas em lei, os direitos da personalidade são intransmissíveis e irrenunciáveis, podendo o seu exercício, no entanto, sofrer limitação voluntária.",Errado | Certo,e,2018
"Julgue os itens a seguir com base na teoria da responsabilidade civil.I Responsabilidade civil odontológica é o dever jurídico do cirurgião-dentista de responder por atos praticados durante o exercício da profissão, quando ilicitamente causar danos a seu paciente ou a terceiros. II Os danos indenizáveis pelo cirurgião-dentista são apenas os de natureza material. III A responsabilidade civil do cirurgião-dentista é de natureza objetiva, ou seja, não depende da verificação de culpa. IV Negligência, imprudência e imperícia são as modalidades de culpa.Assinale a opção correta.",a) Apenas o item I está certo. | b) Apenas o item II está certo. | c) Apenas os itens I e IV estão certos. | d) Apenas os itens II e III estão certos. | e) Apenas os itens III e IV estão certos.,c,2018
"Daniel, em 2010, com quinze anos de idade, sem que seu pai Douglas soubesse, pegou o carro da família e saiu para se divertir. Alcoolizado, Daniel atropelou Ana na faixa de pedestre, que, em decorrência do atropelamento, perdeu uma das pernas. Em 2016, Douglas foi absolvido no processo penal, em sentença transitada em julgado, por ausência de provas em relação a sua culpa no atropelamento causado por seu filho Daniel.Com referência a essa situação hipotética, assinale a opção correta.","a) Douglas é civilmente responsável pelo ato praticado por Daniel, de maneira objetiva, independentemente de culpa. | b) Tendo decorrido mais de três anos da data do acidente, a pretensão de indenização cível de Ana está prescrita. | c) A absolvição de Douglas no processo penal faz coisa julgada no processo cível, de modo que Ana não poderá mais acioná-lo civilmente. | d) Caso seja responsabilizado civilmente pelo ato, Douglas poderá reaver do seu filho Daniel, responsável pelo acidente, o valor pago. | e) Ana poderá ajuizar ação para pleitear danos morais e materiais, mas não danos estéticos isoladamente: dano moral já engloba dano estético.",a,2018
"Em relação ao direito de família e ao direito das sucessões, julgue o item subsequente.A existência de estado gravídico é hipótese excepcional de permissão para casamento de pessoa que não tenha atingido a idade núbil.",Errado | Certo,c,2018
"À luz da legislação e da jurisprudência dos tribunais superiores, julgue o item a seguir, a respeito dos direitos da personalidade, do direito de família, dos direitos reais e da prescrição.De acordo com o Código Civil, uma vez constatada a inadimplência, o condomínio poderá proibir o condômino de usar a área comum destinada ao lazer.",Errado | Certo,e,2018
