Perguntas,Alternativas,Resposta,Ano
"No tocante aos direitos da personalidade,","a) pode-se exigir a cessação da ameaça ou lesão a direito da personalidade; se pleiteadas perdas e danos, será vedado requerer outras sanções preventivas ou punitivas. | b) é válida a disposição gratuita do próprio corpo, com objetivo científico, para depois da morte; é defesa a disposição com objetivo altruístico. | c) é admissível a limitação voluntária do exercício de direitos da personalidade, quaisquer que sejam, embora sejam intransmissíveis e irrenunciáveis por sua natureza. | d) de acordo com o Código Civil, salvo por exigência médica, é defeso o ato de disposição do próprio corpo, quando importar diminuição permanente da integridade física, ou contrariar os bons costumes; o ato de disposição será admitido para fins de transplante, na forma prevista em lei especial. | e) o nome da pessoa não pode ser empregado por ninguém em publicações que a exponham ao desprezo público, salvo se não houver intenção difamatória ou injuriosa.",d,2018
"Em relação à responsabilidade civil, considere as afirmações a seguir.
I. Os bens do responsável pela ofensa ou violação do direito de outrem ficam sujeitos à reparação do dano causado; e, se a ofensa tiver mais de um autor, todos responderão subsidiariamente pela reparação.
II. O credor que demandar o devedor antes de vencida a dívida, fora dos casos em que a lei o permita, ficará obrigado a esperar o tempo que faltava para o vencimento, a descontar os juros correspondentes, embora estipulados, e a pagar as custas em dobro.
III. A responsabilidade civil é independente da criminal, não se podendo questionar mais sobre a existência do fato, ou sobre quem seja o seu autor, quando estas questões se acharem decididas no juízo criminal.
IV. Aquele que ressarcir o dano causado por outrem pode reaver o que houver pago daquele por quem pagou, salvo se o causador do dano for descendente seu, absoluta ou relativamente incapaz.
V. Aquele que demandar por dívida já paga, no todo ou parcialmente, sem ressalvar as quantias do que for devido, ficará no primeiro caso obrigado a devolver o equivalente do que exigiu do devedor e, no segundo caso, a pagar-lhe o dobro do que foi cobrado, em qualquer circunstância.
Está correto o que se afirma APENAS em","a) II, III e IV. | b) I, III e V. | c) I e II. | d) III e V. | e) II, IV e V.",a,2018
"Temendo a desaprovação moral de seu pai, por quem nutre profundo respeito, Pedro matriculou-se no curso superior de Direito, mesmo não sendo esta sua vontade verdadeira. De acordo com o Código Civil, tal ato é","a) anulável, pois foi praticado mediante coação, que pode ser física ou moral. | b) nulo, pois foi praticado mediante coação, que pode ser física ou moral. | c) insuscetível de anulação, pois o mero temor reverencial não vicia a declaração da vontade. | d) nulo, pois o temor reverencial, embora não configure coação, também constitui vício do negócio jurídico. | e) anulável, pois o temor reverencial, embora não configure coação, também constitui vício do negócio jurídico.",c,2018
"Considere as proposições abaixo, a respeito do tema prescrição e decadência:
I. Se a parte não alegar prescrição na contestação, opera-se a preclusão, sendo vedado que o faça em grau de recurso.
II. O falecimento do devedor interrompe o curso do prazo prescricional.
III. A prescrição não corre entre os cônjuges, mesmo depois do fim da sociedade conjugal.
IV. É possível a renúncia à prescrição, expressa ou tácita, desde que não traga prejuízo a terceiros e desde que seja realizada
depois de se consumar.
Está correto o que se afirma APENAS em","a) I, II e III. | b) I e IV. | c) III e IV. | d) IV. | e) II.",d,2018
"Ao dizer que, salvo disposição em contrário, a lei revogada não se restaura por ter a lei revogadora perdido a vigência, a Lei de Introdução às Normas do Direito Brasileiro está referindo-se à",a) anterioridade legal. | b) resilição. | c) retroação da lei. | d) repristinação. | e) sub-rogação.,d,2018
Com relação à prescrição,"a) sua interrupção, produzida contra o principal devedor, não prejudica o fiador, pois este se obriga autonomamente. | b) sua interrupção, produzida por um credor aproveita aos outros; do mesmo modo, a interrupção operada contra o codevedor, ou seu herdeiro, prejudica aos demais coobrigados. | c) pode ser interrompida por qualquer interessado. | d) ocorre em cinco anos, quando a lei não lhe haja fixado prazo menor. | e) suspensa em favor de um dos credores solidários, só aproveitam aos outros se a obrigação for divisível.",c,2018
"De acordo com o Código Civil, uma praça, um quadro assinado por renomado pintor e as energias que tenham valor econômico são considerados, respectivamente, bem","a) público de uso especial, bem fungível e bem imóvel | b) público de uso comum do povo, bem infungível e bem móvel. | c) particular dominical, bem infungível e bem imóvel | d) público de uso comum do povo, bem infungível e bem imóvel | e) público de uso comum do povo, bem fungível e bem móvel.",b,2018
"Nicolas, agindo com dolo, induziu Erick a lhe vender um veículo por valor muito menor que o de mercado. Erick, ao descobrir que havia sido induzido em erro, ratificou expressamente o ato, permanecendo com o veículo. Passado um ano e meio, Erick","a) não poderá ajuizar ação de anulação, pois a confirmação expressa do ato anulável implica extinção de todas as ações, ou exceções, de que o credor dispusesse contra o devedor. | b) poderá ajuizar ação declaratória de nulidade, pois o dolo gera a nulidade do ato, não sendo passível de confirmação, ainda que expressa, nem convalesce com o passar do tempo. | c) poderá ajuizar ação anulatória, pois o ato anulável não é passível de confirmação. | d) não poderá ajuizar ação declaratória de nulidade, pois, depois de um ano da celebração do contrato, operou-se a decadência. | e) não poderá ajuizar ação de anulação, pois, depois de um ano da celebração do contrato, operou-se a prescrição.",a,2018
"Em relação aos bens,","a) os materiais destinados a alguma construção, mesmo que ainda não empregados, já são considerados imóveis em razão de sua finalidade. | b) consideram-se imóveis para os efeitos legais o direito à sucessão aberta. | c) são consumíveis os bens móveis que podem substituir-se por outros da mesma espécie, qualidade e quantidade. | d) os naturalmente divisíveis conservam sua divisibilidade em qualquer situação, nada obstante a lei ou a vontade das partes em sentido contrário. | e) os negócios jurídicos que dizem respeito ao bem principal como regra abrangem as pertenças, salvo disposição da lei ou do contrato em sentido diverso.",b,2018
"Manoel é juiz federal e contribui para sistema de previdência em valores muito superiores aos que recolhem trabalhadores submetidos ao regime da CLT, a fim de ver garantida aposentadoria com proventos integrais. Desconsideradas eventuais regras de transição que venham a ser instituídas, e levando-se em conta que Manoel ainda não atingiu o tempo necessário para a aposentação, caso aprovada reforma legislativa que extinga o direito à aposentadoria com proventos integrais, Manoel","a) poderá requerer indenização contra a União, pois a Lei de Introdução às Normas do Direito Brasileiro garante que lei nova não pode gerar enriquecimento sem causa ao atingir expectativa de direito. | b) poderá alegar a existência de direito adquirido a receber aposentadoria com proventos integrais, o qual passou a existir no dia em que tomou posse na Magistratura. | c) não poderá alegar a existência de direito adquirido a receber aposentadoria com proventos integrais, pois não possui direito adquirido, o qual somente existiria se tivesse trabalhado pelo tempo necessário à aposentação. | d) poderá requerer indenização contra a União, pois a Lei de Introdução às Normas do Direito Brasileiro garante que a lei nova não pode gerar enriquecimento sem causa ao atingir direito adquirido. | e) poderá requerer o pagamento proporcional da aposentadoria com proventos integrais, pois a Lei de Introdução às Normas do Direito Brasileiro confere à expectativa de direito a mesma proteção dada ao direito adquirido.",c,2018
"Considere as afirmações a seguir, que concernem à responsabilidade civil.
I. Ressalvados outros casos previstos em lei especial, os empresários individuais e as empresas respondem, apenas mediante aferição de culpa, pelos danos causados pelos produtos postos em circulação.
II. Aquele que ressarcir o dano causado por outrem pode reaver o que houver pago daquele por quem pagou, salvo se o causador do dano for descendente seu, absoluta ou relativamente incapaz.
III. O dono, ou detentor, do animal ressarcirá o dano por este causado, se não provar culpa da vítima, força maior, conduta de terceiro ou que tomou todas as medidas cabíveis para evitar o dano.
IV. O credor que demandar o devedor antes de vencida a dívida, fora dos casos em que a lei o permita, ficará obrigado a esperar o tempo que faltava para o vencimento, a descontar os juros correspondentes, embora estipulados, e a pagar as custas em dobro.
V. Aquele que demandar por dívida já paga, no todo ou em parte, sem ressalvar as quantias recebidas ou pedir mais do que for devido, ficará obrigado a pagar ao devedor, no primeiro caso, o dobro do que houver cobrado e, no segundo, o equivalente do que dele exigir, salvo se houver prescrição.
Está correto o que se afirma APENAS em","a) I, II, III e V. | b) II, IV e V. | c) I, III, IV e V. | d) II, III e IV. | e) I, III e V.",b,2018
"Pedro de Oliveira, maior e capaz, quer acrescer a seu nome o pseudônimo “Marisco”, pois é pescador e deseja candidatar-se a vereador usando o nome pelo qual é conhecido em Cananeia, o que é notório na cidade, passando a chamar-se Pedro Marisco de Oliveira. Sua pretensão","a) será indeferida, porque o acréscimo do pseudônimo não é permitido após a maioridade, a fim de resguardar direitos de terceiros. | b) será indeferida, porque “Marisco” é nome de um animal marinho, não podendo ser utilizado como pseudônimo. | c) poderá ser deferida, mas somente para fins sociais, estritamente, não gozando da proteção legal dada ao nome na mesma extensão. | d) será indeferida, porque o pseudônimo não tem previsão legal de acréscimo ao nome. | e) poderá ser deferida, gozando o pseudônimo, adotado para atividades lícitas, da mesma proteção que se dá ao nome.",e,2018
"No contrato oneroso de transporte, a responsabilidade do transportador","a) é elidida se as partes estipularem cláusula excludente de responsabilidade. | b) não admite nenhuma excludente de responsabilidade. | c) não difere do transporte feito gratuitamente. | d) deixa de existir se houver prova de culpa de terceiro, não sendo afastada por motivo de força maior. | e) existe independentemente de prova de culpa do transportador, salvo se o fato decorrer de força maior.",e,2018
"Com o objetivo de doar um veículo de alto valor para sua concubina, Paulo simulou uma compra e venda. O ato simulado é","a) anulável e sua invalidação poderá ser requerida por qualquer interessado ou pelo Ministério Público, quando lhe couber intervir, não convalescendo pelo decurso do tempo. | b) nulo e sua invalidação poderá ser requerida, no prazo decadencial de 4 anos, pela parte que houver sido prejudicada ou pelo Ministério Público, quando lhe couber intervir. | c) anulável e sua invalidação poderá ser requerida apenas pela parte que houver sido prejudicada, no prazo prescricional de 4 anos. | d) nulo e sua invalidação poderá ser requerida por qualquer interessado ou pelo Ministério Público, quando lhe couber intervir, não convalescendo pelo decurso do tempo. | e) nulo, mas subsiste o que se dissimulou, ainda que contenha forma diversa da prescrita em lei.",d,2018
