Perguntas,Alternativas,Resposta,Ano
"A afirmação de que todo poder emana do povo, que o exerce por meio de seus representantes eleitos, nos termos da CF, retrata o princípio fundamental da República Federativa do Brasil denominado princípio",a) da livre iniciativa. | b) representativo. | c) do pluralismo político. | d) do Estado democrático de direito. | e) da cidadania.,b,2018
"De acordo com o regime constitucional brasileiro, as denominadas funções de confiança devem ser exercidas","a) por servidor aposentado que retorne ao serviço público para exercer qualquer atividade diversa daquela em que tenha se dado a aposentadoria. | b) somente por quem não possua cargo efetivo, nos limites fixados na legislação, e se destinam apenas à atividade meio. | c) por qualquer cidadão, salvo se forem destinadas a atividades de direção ou assessoramento jurídico. | d) por pessoa natural, com ou sem vínculo com o poder público, e destinam-se a qualquer atividade — meio ou fim — realizada na administração pública. | e) de forma exclusiva por servidor ocupante de cargo efetivo, e destinam-se apenas às atribuições de direção, chefia e assessoramento.",e,2018
"À luz da CF, assinale a opção correta quanto às leis orçamentárias.","a) Se o Poder Judiciário não encaminhar a proposta orçamentária no prazo previsto na LDO, o Poder Executivo deverá enviar para o Poder Legislativo o projeto da LOA sem contemplar os recursos destinados a esse poder. | b) A LDO deve anteceder a edição da LOA, independentemente da esfera federativa, em virtude do seu caráter anual. | c) As eventuais alterações na legislação tributária com impacto na previsão de receita devem ser incorporadas à LOA. | d) O objetivo constitucional de construir um programa geoeconômico e social visando à redução das desigualdades regionais deve ser contemplado, prioritariamente, na LDO. | e) Ao presidente da República é vedado o envio de mensagem modificativa dos projetos relativos às leis orçamentárias subsequente ao parecer da comissão mista de deputados e senadores.",b,2018
"Em relação aos direitos e garantias fundamentais e ao Poder Judiciário, julgue o item a seguir.Se um militar for denunciado pela prática de um delito que seja tipificado tanto na legislação penal comum quanto no Código Penal Militar, a justiça militar será a competente para processar e julgar eventual habeas corpus impetrado pelo referido militar.",Errado | Certo,c,2018
"Julgue os itens seguintes, relativos aos direitos e garantias fundamentais, ao meio ambiente e à organização político-administrativa.Em caso de iminente perigo e em tempo de guerra, compete privativamente à União legislar sobre requisições militares.",Errado | Certo,c,2018
"Julgue os itens seguintes, relativos à classificação das Constituições e à organização político-administrativa.O fato de o texto constitucional ter sido alterado quase cem vezes em razão de emendas constitucionais não é suficiente para classificar a vigente Constituição Federal brasileira como flexível.",Errado | Certo,c,2018
"Em relação aos direitos e deveres fundamentais, à nacionalidade e ao Poder Judiciário, julgue os itens a seguir.
Situação hipotética: Com a pretensão de candidatar-se a cargo eletivo, determinado militar, com cinco anos de serviço, fez, de forma regular, o pedido de registro de sua candidatura. Assertiva: Nessa situação, após ser eleito, o militar deverá afastar-se de sua atividade pelo período do mandato eletivo, devendo retornar ao serviço após o seu término.",Errado | Certo,e,2018
"Julgue os itens seguintes, relativos à classificação das Constituições e à organização político-administrativaO fato de o texto constitucional ter sido alterado quase cem vezes em razão de emendas constitucionais não é suficiente para classificar a vigente Constituição Federal brasileira como flexível.",Errado | Certo,c,2018
"Tendo em vista a organização do Estado e o fato de que o texto constitucional prevê a possibilidade de determinados órgãos do Poder Judiciário requisitarem ao presidente da República intervenção federal no caso de desobediência à ordem ou à decisão judiciária, julgue os itens seguintes.Nos casos de requisição de intervenção federal, o presidente da República estará obrigado a editar o decreto de intervenção, não lhe cabendo, a despeito da sua condição de chefe do Poder Executivo, exercer juízo de conveniência ou de oportunidade da providência requerida.",Errado | Certo,c,2018
"A Carta Magna, em seu art. 74, determina que o sistema de controle interno deve ser mantido pelos três poderes de forma integrada, tendo como um dos seus principais alvos","a) promover a padronização e a consolidação das contas nacionais. | b) exercer o controle das operações de crédito, avais e garantias bem como dos direitos e haveres da União. | c) apreciar, para fins de registro, a legalidade dos atos de admissão de pessoal na administração direta e indireta. | d) elaborar e executar a programação financeira da União. | e) aplicar, em caso de ilegalidade de despesa ou irregularidade de contas, as sanções previstas em lei.",b,2018
As comissões parlamentares de inquérito,"a) podem promover diretamente a responsabilidade civil dos infratores, mas não a criminal. | b) têm poderes de investigação próprios das autoridades judiciais, vedada a previsão de outros poderes nos regimentos das casas parlamentares. | c) devem remeter suas conclusões ao Ministério Público se for necessário responsabilizar penal ou civilmente os infratores. | d) podem ser instituídas pelo Senado Federal ou pela Câmara dos Deputados, mas não pelas duas casas conjuntamente. | e) têm poderes para decretar a quebra de sigilo fiscal, mas não bancário.",c,2018
A direção superior da administração federal é competência,"a) comum do presidente da República, com o auxílio do Congresso Nacional. | b) privativa do presidente da República, com o auxílio dos ministros de Estado e do Tribunal de Contas da União. | c) comum do presidente da República, com o auxílio direto do Tribunal de Contas da União. | d) privativa do presidente da República, com o auxílio do Congresso Nacional. | e) privativa do presidente da República, com o auxílio dos ministros de Estado.",e,2018
"Servidores públicos de determinado estado da Federação iniciaram movimento grevista, motivados pelo atraso no pagamento de seus vencimentos, na tentativa de regularizar a situação salarial. Inconformado com a paralisação de atividades que julgava essenciais, o gestor público expediu ato administrativo determinando o desconto do salário dos servidores grevistas, bem como o processamento da devida anotação funcional.Nessa situação hipotética, o instrumento processual de controle judicial que o sindicato dos servidores deverá invocar para suspender o ato administrativo de desconto e anotação dos dias não trabalhados é o",a) mandado de segurança. | b) mandado de injunção. | c) recurso ordinário. | d) habeas corpus. | e) habeas data.,a,2018
