Perguntas,Alternativas,Resposta,Ano
"Acerca do que dispõe a Constituição Federal sobre o chefe do Poder Executivo Federal,","a) compete privativamente ao Presidente da República a concessão de anistia. | b) o Presidente da República, na vigência de seu mandato, não pode ser responsabilizado por atos estranhos ao exercício de suas funções. | c) o Presidente da República possui a mesma imunidade material prevista para os Deputados e Senadores. | d) admitida a acusação contra o Presidente da República, será ele submetido a julgamento perante o Senado Federal, nas infrações penais comuns, ou perante o Supremo Tribunal Federal, nos crimes de responsabilidade. | e) o Presidente da República poderá dispor, mediante decreto, sobre extinção de órgãos públicos, quando vagos.",b,2018
Acerca do que dispõe a Constituição Federal sobre os direitos e deveres individuais e coletivos:,"a) A pequena propriedade rural, assim definida em lei, desde que trabalhada pela família, poderá ser objeto de penhora para pagamento de débitos decorrentes de sua atividade produtiva, mas não de desapropriação. | b) A lei estabelecerá o procedimento para desapropriação por necessidade ou utilidade pública, ou por interesse social, mediante justa e prévia indenização com pagamento mediante títulos da dívida pública de emissão previamente aprovada pelo Congresso Nacional. | c) Todos têm direito a receber dos órgãos públicos informações de seu interesse particular, ou de interesse coletivo ou geral, que serão prestadas no prazo da lei, sob pena de responsabilidade, ressalvadas aquelas cujo sigilo seja imprescindível à segurança da sociedade e do Estado. | d) A lei assegurará aos autores de inventos industriais privilégio perpétuo de sua utilização, bem como proteção às criações industriais, à propriedade das marcas, aos nomes de empresas e a outros signos distintivos, tendo em vista o interesse social e o desenvolvimento tecnológico e econômico do país. | e) No caso de iminente perigo público, a autoridade competente poderá usar de propriedade particular, assegurada ao proprietário indenização prévia, sujeita a complementação posterior, na hipótese de ocorrência de dano.",c,2018
"À luz do que dispõe a Constituição Federal quanto ao regime de precatórios judiciais,","a) a seu critério exclusivo e na forma de lei, a União poderá assumir débitos, oriundos de precatórios, de Estados, Distrito Federal e Municípios, refinanciando-os diretamente. | b) a União, os Estados, o Distrito Federal e os Municípios aferirão mensalmente, em base anual, o comprometimento de suas respectivas receitas correntes líquidas com o pagamento de precatórios, excluídas as obrigações de pequeno valor. | c) é permitida, desde que por uma única vez, a expedição de precatórios complementares ou suplementares de valor pago, bem como o fracionamento, repartição ou quebra do valor da execução para fins de enquadramento em obrigações definidas em leis como de pequeno valor. | d) os pagamentos devidos pelas Fazendas Públicas Federal, Estaduais, Distrital e Municipais, em virtude de sentença judiciária, far-se-ão exclusivamente na ordem decrescente de valores. | e) os presidentes dos tribunais que, por ato comissivo ou omissivo, retardarem ou tentarem frustrar a liquidação regular de precatórios, não poderão ser processados por crime de responsabilidade, haja vista que a sua responsabilidade será averiguada perante o Conselho Nacional de Justiça.",a,2018
A República Federativa do Brasil rege-se nas suas relações internacionais pelo princípio que,"a) autoriza o uso da intervenção, em qualquer hipótese, desde que autorizada pelo Senado Federal. | b) prega a solução dos conflitos por meio do uso da força, competindo ao Presidente da República declarar guerra, no caso de agressão estrangeira, autorizado pelo Senado Federal. | c) reconhece a diferença hierárquica entre os Estados em função de sua importância econômica. | d) reconhece a autodeterminação dos povos. | e) estimula a competição entre os povos para o progresso da humanidade.",d,2018
"Sobre a Justiça do Trabalho, a Constituição Federal dispõe que:","a) é da competência da Justiça do Trabalho processar e julgar as ações relativas às penalidades criminais impostas aos empregadores pelos órgãos de fiscalização das relações de trabalho. | b) em caso de greve em atividade essencial, com possibilidade de lesão do interesse público, o Ministério Público do Trabalho poderá ajuizar dissídio coletivo, competindo ao Conselho Superior da Justiça do Trabalho decidir o conflito. | c) recusando-se qualquer das partes à negociação coletiva ou à arbitragem, é obrigatório o ajuizamento de dissídio coletivo de natureza econômica, devendo a Justiça do Trabalho decidir o conflito. | d) nas Varas do Trabalho, a jurisdição será exercida por um juiz singular e por dois juízes classistas. | e) os Tribunais Regionais do Trabalho instalarão a justiça itinerante, com a realização de audiências e demais funções de atividade jurisdicional, nos limites territoriais da respectiva jurisdição, servindo-se de equipamentos públicos e comunitários.",e,2018
"É direito dos trabalhadores urbanos e rurais, assegurado na Constituição Federal:","a) a duração do trabalho normal não superior a doze horas diárias e quarenta e oito semanais, facultada a compensação de horários e a redução da jornada, mediante acordo ou convenção coletiva de trabalho. | b) a participação nos lucros, ou resultados, vinculada à remuneração, e, excepcionalmente, a participação na gestão da empresa, conforme definido em lei. | c) o reconhecimento das convenções e acordos coletivos de trabalho. | d) a remuneração do trabalho diurno superior à do noturno. | e) a proteção do salário na forma da lei, constituindo crime sua retenção culposa.",c,2018
A Constituição Federal atribui ao Presidente da República competência privativa para,"a) exercer, com o auxílio dos Ministros do Supremo Tribunal Federal, a direção superior da Administração federal. | b) vetar propostas de emendas à Constituição, total ou parcialmente. | c) sancionar, promulgar e fazer publicar as leis, bem como expedir decretos e regulamentos para sua fiel execução. | d) permitir, nos casos previstos em lei ordinária, que forças estrangeiras transitem pelo território nacional ou nele permaneçam temporariamente. | e) celebrar tratados, convenções e atos internacionais, sujeitos a referendo do Senado Federal.",c,2018
"À luz da Constituição Federal, consideradas exclusivamente as condições de elegibilidade relativas à nacionalidade e idade, um brasileiro naturalizado de 25 anos poderia, em tese, candidatar-se a","a) Senador, mas não poderia assumir a Presidência do Senado Federal. | b) Presidente da República. | c) Governador de Estado. d) Vereador, mas não poderia assumir a Presidência da Câmara Municipal. | e) Deputado Federal, mas não poderia assumir a Presidência da Câmara dos Deputados.",e,2018
"Considere as seguintes proposições:
I. O processo legislativo das leis previsto na Constituição da República é cláusula pétrea, não podendo ser modificado pelo poder reformador.
II. Uma vez que a Constituição da República consagra a iniciativa popular, qualquer do povo poderá apresentar projeto de lei ao Congresso Nacional.
III. A matéria constante de projeto de lei rejeitado somente poderá constituir objeto de novo projeto, na mesma sessão legislativa, mediante proposta da maioria absoluta dos membros de qualquer das casas do Congresso Nacional.
IV. A discussão e votação dos projetos de lei de iniciativa do Presidente da República terão início na Câmara dos Deputados.
À luz do disposto na Constituição da República, está correto o que se afirma APENAS em",a) I e IV. | b) II e III. | c) I e III. | d) I e II. | e) III e IV.,e,2018
"A Assembleia Legislativa de certo Estado da Federação recebeu representação de cidadãos requerendo a instauração de processo contra o Governador para apuração de crime de responsabilidade previsto exclusivamente na Constituição do Estado. A representação foi arquivada, sob o fundamento de que os crimes de responsabilidade do Governador devem estar previstos em lei federal. Paralelamente, e independentemente de autorização da Assembleia Legislativa do Estado, o órgão jurisdicional competente recebeu a denúncia para apuração e julgamento de crime comum, supostamente cometido pelo Governador, tendo instaurado o respectivo processo penal e concedido medida cautelar para o fim de afastá-lo do cargo. Considerando as normas constitucionais aplicáveis à matéria, bem como a jurisprudência do Supremo Tribunal Federal, a representação foi arquivada por motivo","a) compatível com a Constituição Federal, mas o órgão do Poder Judiciário não poderia ter instaurado o processo penal e afastado o Governador. | b) compatível com a Constituição Federal, sendo que o órgão do Poder Judiciário poderia ter instaurado o processo penal, mas não afastado o Governador nessa situação. | c) compatível com a Constituição Federal, assim como compatibilizam-se com a Constituição Federal a instauração do processo penal e o afastamento do Governador pelo órgão do Poder Judiciário. | d) incompatível com a Constituição Federal, assim como não se compatibilizam com a Constituição Federal a instauração do processo penal e o afastamento do Governador pelo órgão do Poder Judiciário. | e) incompatível com a Constituição Federal, mas o órgão do Poder Judiciário poderia ter instaurado o processo penal e afastado o Governador.",c,2018
"Caso pretenda decretar a intervenção federal em determinado Estado da Federação, o Presidente da República deverá levar em consideração que, segundo a Constituição Federal, essa medida","a) permite a suspensão excepcional da autonomia do ente federativo, podendo ser efetivada apenas nas situações expressamente indicadas na Constituição Federal. | b) não poderá suspender, ainda que temporariamente, o exercício das competências atribuídas aos Estados pela Constituição Federal, sob pena de ser violado o princípio federativo. | c) não poderá afastar autoridades estaduais, sob pena de ser violado o princípio democrático. | d) poderá ser determinada por prazo indeterminado, se as circunstâncias fáticas assim exigirem. | e) impede a edição de medidas provisórias pelo Presidente da República enquanto durar sua vigência.",a,2018
"Sobre as finanças públicas, suas normas gerais e orçamentos, dispõe a Constituição Federal que:","a) leis de iniciativa do Poder Legislativo estabelecerão o plano plurianual, as diretrizes orçamentárias e os orçamentos anuais. | b) o Presidente da República poderá enviar mensagem ao Congresso Nacional para propor modificação nos projetos a que se refere este artigo enquanto não iniciada a votação, na Comissão mista, da parte cuja alteração é proposta. | c) a lei orçamentária anual não conterá dispositivo estranho à previsão da receita e à fixação da despesa, ainda que referentes à autorização para abertura de créditos suplementares e contratação de operações de crédito. | d) cabe à lei ordinária estabelecer normas de gestão financeira e patrimonial da Administração direta e indireta bem como condições para a instituição e funcionamento de fundos. | e) a lei que instituir o plano plurianual estabelecerá as metas e prioridades da Administração pública, incluindo as despesas de capital para o exercício financeiro subsequente, e disporá sobre as alterações na legislação tributária.",b,2018
"Sobre o Poder Executivo, a Constituição Federal estabelece que:","a) o Presidente e o Vice-Presidente da República não poderão, sem licença do Congresso Nacional, ausentar-se do País por prazo superior a 10 dias, sob pena de perda do cargo. | b) o mandato do Presidente da República é de quatro anos e terá início em quinze de janeiro do ano seguinte ao da sua eleição. | c) em caso de impedimento do Presidente e do Vice-Presidente da República, ou vacância dos respectivos cargos, serão sucessivamente chamados ao exercício da Presidência o Presidente do Senado Federal, o da Câmara dos Deputados e o do Supremo Tribunal Federal. | d) o Presidente da República tomará posse em sessão do Congresso Nacional, prestando o compromisso de manter, defender e cumprir a Constituição, observar as leis e promover o bem geral do povo brasileiro, solenidade essa da qual é dispensado o Vice-Presidente da República. | e) será considerado eleito Presidente da República o candidato que, registrado por partido político, obtiver a maioria absoluta de votos, não computados os em branco e os nulos.",e,2018
"A competência para resolver definitivamente sobre tratados, acordos ou atos internacionais que acarretem encargos ou compromissos gravosos ao patrimônio nacional é exclusiva",a) do Presidente da República. | b) da Câmara dos Deputados. | c) do Congresso Nacional. | d) do Senado Federal. | e) do Supremo Tribunal Federal.,c,2018
O Tribunal Superior do Trabalho compor-se-á de,"a) no mínimo sete Ministros, recrutados, quando possível, na respectiva região e nomeados pelo Presidente da República dentre brasileiros com mais de trinta e menos de sessenta anos. | b) no mínimo trinta Ministros nomeados pelo Presidente da República, dentre brasileiros com mais de trinta e cinco e menos de cinquenta e cinco anos, de notável saber jurídico e reputação ilibada, depois de aprovada a escolha pela maioria absoluta do Senado Federal. | c) vinte e cinco Ministros, escolhidos dentre cidadãos com mais de trinta e cinco e menos de sessenta e cinco anos de idade, de notável saber jurídico e reputação ilibada. | d) vinte e sete Ministros, escolhidos dentre brasileiros com mais de trinta e cinco anos e menos de sessenta e cinco anos, de notável saber jurídico e reputação ilibada, nomeados pelo Presidente da República após aprovação pela maioria absoluta do Senado Federal. | e) quinze Ministros, nomeados pelo Presidente da República, depois de aprovada a indicação pelo Senado Federal.",d,2018
"É correto classificar a Constituição Federal brasileira de 1988, quanto","a) à origem, como outorgada, pois não foi votada e aprovada diretamente pelo povo, mas tão somente por seus representantes. | b) à extensão, como sintética, por abordar, muitas vezes de forma minuciosa, todos os assuntos que os representantes do povo entenderam fundamentais. | c) ao modo de elaboração, como histórica, constituída através de um lento e contínuo processo de formação ao longo do tempo. | d) ao conteúdo, como formal, em razão de ter elegido como critério preponderante o processo de sua formação, e não o conteúdo de suas normas. | e) à alterabilidade, como semirrígida, em razão de algumas matérias exigirem um processo de alteração mais dificultoso do que o exigido para a alteração das espécies normativas infraconstitucionais.",d,2018
"Ao disciplinar a organização político-administrativa da federação brasileira, a Constituição Federal estabelece que compete","a) privativamente à União legislar sobre propaganda comercial. | b) privativamente aos Estados e Distrito Federal legislar acerca das custas dos serviços forenses. | c) privativamente ao Município legislar sobre trânsito e transporte. | d) à União, aos Estados e ao Distrito Federal legislar concorrentemente sobre sistemas de consórcios e sorteios. | e) privativamente à União legislar sobre educação, cultura, ensino, desporto, ciência, tecnologia, pesquisa, desenvolvimento e inovação.",a,2018
São brasileiros,"a) natos os nascidos na República Federativa do Brasil, ainda que de pais estrangeiros que estejam a serviço de seu país. | b) natos os nascidos no estrangeiro, de pai brasileiro ou mãe brasileira, desde que ambos estejam a serviço da República Federativa do Brasil. | c) natos os nascidos no estrangeiro de pai brasileiro ou de mãe brasileira, desde que sejam registrados em repartição brasileira competente ou venham a residir na República Federativa do Brasil e optem, quando completarem 21 anos, pela nacionalidade brasileira. | d) naturalizados os estrangeiros de qualquer nacionalidade, residentes na República Federativa do Brasil há mais de cinco anos ininterruptos e sem condenação penal, desde que requeiram a nacionalidade brasileira. | e) naturalizados os que, na forma da lei, adquiram a nacionalidade brasileira, exigidas aos originários de países de língua portuguesa apenas residência por um ano ininterrupto e idoneidade moral.",e,2018
