Perguntas,Alternativas,Resposta,Ano
"Antônio foi parado em operação de fiscalização de trânsito e entregou sua carteira de identidade ao policial, que, na verdade, havia lhe solicitado sua CNH. Tal fato gerou suspeita no policial, que decidiu vistoriar o veículo de Antônio e acabou por encontrar uma CNH falsa.
Nessa situação hipotética,","a) não se pode falar em flagrante delito; deve ser instaurado inquérito para apurar o crime de falsificação de documento público. | b) não se pode falar em flagrante delito; deve ser instaurado inquérito para apurar o crime de falsificação de documento privado. | c) Antônio deverá responder pelos crimes de uso de documento falso e de falsificação de documento público, em concurso material. | d) Antônio deverá responder pelo crime de uso de documento falso. | e) a conduta de Antônio foi atípica, não devendo ser instaurado inquérito policial.",a,2018
"Lúcio, ao acompanhar sua esposa a um posto de saúde, apropriou-se de um receituário médico em branco, mas com o carimbo do médico que havia atendido sua esposa. Com o intuito de faltar ao trabalho, ele preencheu o formulário, atestando que deveria ficar cinco dias em repouso.
Nessa situação hipotética, Lúcio praticou o crime de",a) falsificação material de documento particular. | b) falsidade ideológica. | c) falsidade de atestado médico. | d) falsidade de sinal público. | e) falsificação material de documento público.,e,2018
"Com relação aos instrumentos previstos na Lei Maria da Penha, assinale a opção correta.","a) A violência patrimonial contra a mulher se restringe à destruição total de seus documentos pessoais e dos bens e recursos econômicos destinados a satisfazer as suas necessidades. | b) Alguém da convivência da mulher que lhe cause dano moral ou patrimonial não comete crime, porque essas atitudes, à luz da lei, não são consideradas violência doméstica ou familiar. | c) A violência doméstica e familiar contra a mulher constitui uma forma de violação de direitos humanos. | d) Para fins legais, a comprovação da relação íntima de afeto entre o agressor e a ofendida depende de coabitação. | e) A legislação especial, ao se referir à violência moral, não inclui condutas que configurem a calúnia, a difamação ou a injúria.",c,2018
"De acordo com a legislação penal especial, assinale a opção correta.","a) Comete o crime de tortura aquele que, tendo o dever de evitar a conduta, se mantém omisso ao tomar ciência ou presenciar pessoa presa ser submetida a sofrimento físico ou mental, por meio da prática de ato não previsto legalmente. | b) A autoridade policial pode praticar a ação controlada — que consiste no retardamento da intervenção policial para aguardar o momento mais eficaz à formação de provas e obtenção de informações — independentemente de prévia comunicação ao juiz competente. | c) Será interditado do exercício da atividade pública por igual período ao da pena privativa de liberdade prevista no Código Penal para o crime de lavagem de dinheiro o indivíduo que, exercendo cargo ou função pública de qualquer natureza, for condenado pela prática de tal crime. | d) Sendo o servidor público condenado por crime de abuso de autoridade, será decretada a perda do cargo e a sua inabilitação para o exercício de qualquer outra função pública pelo prazo de até cinco anos. | e) Em qualquer hipótese, configura-se o crime de disparo de arma de fogo disparar arma de fogo com a finalidade de praticar outro crime.",a,2006
"Túlio ofereceu suborno para André, perito da polícia civil, no intuito de que este fizesse afirmação falsa em laudo pericial de sua responsabilidade. André aceitou a proposta e elaborou o laudo falso, o que foi determinante para a sentença absolutória de Túlio. Nessa situação hipotética,","a) André poderá declarar a verdade quando for processado pelo crime que cometeu, hipótese em que o fato deixará de ser punível. | b) a pena base prevista para Túlio será maior que a de André, porque sua conduta é considerada mais grave. | c) penalmente, é irrelevante o fato de a falsa perícia ter sido utilizada em processo criminal. | d) os crimes se consumaram no momento do pagamento do suborno, ainda que tenha sido efetivado posteriormente à elaboração da perícia. | e) Túlio e André responderão pelo mesmo crime, no caso, falso testemunho ou falsa perícia, em coautoria.",b,2018
"Com relação ao crime de estupro, considera-se vulnerável a vítima","a) que morre em consequência da violência sexual. | b) que pratica o ato sexual mediante fraude ou dissimulação. | c) mentalmente enferma, sem discernimento para o ato sexual. | d) com quatorze anos de idade completos. | e) com até dezoito anos de idade.",c,2018
"Configura violência doméstica e familiar contra a mulher qualquer ação ou omissão que, baseada no gênero, lhe cause sofrimento físico e que ocorra","a) dentro da residência da vítima, desde que o agressor seja do sexo masculino. | b) em relação íntima de afeto, somente se o agressor ainda conviver com a vítima. | c) em relação íntima de afeto, independentemente da coabitação dos envolvidos. | d) no âmbito da unidade doméstica, desde que o agressor seja pessoa da família. | e) no âmbito da família, salvo se o agressor não possuir laços naturais com a vítima.",c,2018
A imputabilidade é definida como,"a) a capacidade mental, inerente ao ser humano, de, ao tempo da ação ou da omissão, entender o caráter ilícito do fato e de determinar-se de acordo com esse entendimento. | b) a contrariedade entre o fato típico praticado por alguém e o ordenamento jurídico, capaz de lesionar ou expor a perigo de lesão bens jurídicos penalmente protegidos. | c) a reprovabilidade ou o juízo de censura que incide sobre a formação e a exteriorização da vontade do responsável pela conduta criminosa. | d) a obediência às formas e aos procedimentos exigidos na criação da lei penal e, principalmente, na elaboração de seu conteúdo normativo. | e) a necessidade de que a conduta reprovável se encaixe no modelo descrito na lei penal vigente no momento da ação ou da omissão.",a,2018
O princípio da legalidade compreende,"a) a capacidade mental de entendimento do caráter ilícito do fato no momento da ação ou da omissão, bem como de ciência desse entendimento. | b) o juízo de censura que incide sobre a formação e a exteriorização da vontade do responsável por um fato típico e ilícito, com o propósito de aferir a necessidade de imposição de pena. | c) a oposição entre o ordenamento jurídico vigente e um fato típico praticado por alguém capaz de lesionar ou expor a perigo de lesão bens jurídicos penalmente protegidos. | d) a obediência às formas e aos procedimentos exigidos na criação da lei penal e, principalmente, na elaboração de seu conteúdo normativo. | e) a conformidade da conduta reprovável do agente ao modelo descrito na lei penal vigente no momento da ação ou da omissão.",d,2018
"Um perito médico legista não incluiu propositalmente em seu laudo necroscópico o resultado da alcoolemia de um cadáver que ele examinou.Nessa situação hipotética, independentemente da importância de seu resultado para o andamento do processo, o médico legista cometeu",a) crime de falsificação de documento público. | b) crime de falsa perícia. | c) contravenção penal contra à fé pública. | d) contravenção penal contra a administração pública. | e) crime de falsidade ideológica por negligência.,b,2018
