Perguntas,Alternativas,Resposta,Ano
"Segundo a doutrina, é possível conceituar a ação penal como o direito do Estado-acusação ou da vítima de ingressar em juízo, pretendendo a prestação jurisdicional, consistente na aplicação das normas de direito penal ao caso concreto. Sobre a ação penal, a legislação vigente dispõe:","a) A ação de iniciativa privada pode intentar-se nos crimes de ação pública, se o Ministério Público não oferece denúncia no prazo legal. b) A ação de iniciativa privada é promovida exclusivamente mediante denúncia do ofendido. | c) No caso de morte do ofendido ou de ter sido declarado ausente por decisão judicial, o direito de oferecer queixa ou de prosseguir na ação passa ao Ministério Público. | d) A ação penal é pública, salvo quando a lei expressamente a declara privativa do Ministro da Justiça. | e) A ação pública é promovida pelo ofendido, dependendo, quando a lei o exige, de representação do Ministério Público ou de requisição do Ministro da Justiça.",a,2018
"É certo que um crime pode ser praticado por uma ou mais pessoas. Quando isso acontece, está-se diante da hipótese de concurso de pessoas, também conhecido como concurso de agentes. Nesse caso,","a) ainda que algum dos concorrentes tenha querido participar de crime menos grave, ser-lhe-á, obrigatoriamente, aplicada a pena idêntica do crime praticado pelo seu comparsa, ante a adoção pelo Código Penal da teoria monista. | b) em hipótese alguma se comunicam as circunstâncias e as condições de caráter pessoal na coautoria. | c) o ajuste, a determinação ou instigação e o auxílio são sempre puníveis, ainda que o crime não venha a ser tentado. | d) os crimes plurissubjetivos não admitem a coautoria e a participação. | e) se a participação for de menor importância, a pena pode ser diminuída de um sexto a um terço.",e,2018
"Sobre o crime de falso testemunho ou falsa perícia, o Código Penal, em seu artigo 342, prevê que","a) é fato atípico fazer afirmação falsa em juízo arbitral. | b) é fato atípico fazer afirmação falsa em inquérito penal. | c) as penas são aumentadas de um sexto a um terço, se o crime é praticado mediante suborno ou se cometido com o fim de obter prova destinada a produzir efeito em processo penal, ou em processo civil em que for parte entidade da Administração pública direta ou indireta. | d) o fato deixa de ser típico se, antes da sentença no processo em que ocorreu o ilícito, o agente se retrata ou declara a verdade. | e) é fato atípico fazer afirmação falsa em processo administrativo.",c,2018
"Acerca das penas, suas espécies e sua cominação, o Código Penal dispõe que","a) o condenado à pena privativa de liberdade superior a 7 anos deverá, obrigatoriamente, começar a cumpri-la em regime fechado. | b) o condenado não reincidente, cuja pena privativa de liberdade seja superior a 6 anos e não exceda a 7, deverá, desde o princípio, cumpri-la em regime semiaberto. | c) o condenado não reincidente, cuja pena privativa de liberdade seja superior a 5 anos e não exceda a 7, deverá, desde o início, cumpri-la em regime aberto. | d) as penas privativas de liberdade deverão ser executadas em forma regressiva, segundo o mérito do condenado. | e) o condenado por crime contra a Administração pública terá a progressão de regime do cumprimento da pena condicionada à reparação do dano que causou, ou à devolução do produto do ilícito praticado, com os acréscimos legais.",e,2018
"São, dentre outros, crimes contra a administração da Justiça:","a) resistência, desobediência, desacato e tráfico de influência. | b) advocacia administrativa, condescendência criminosa, violação de sigilo funcional e abandono de função. | c) auto-acusação falsa, exercício arbitrário das próprias razões, denunciação caluniosa e exploração de prestígio. | d) falsidade ideológica, falso reconhecimento de firma ou letra, certidão ou atestado ideologicamente falso e adulteração de sinal identificador de veículo automotor. | e) concussão, corrupção passiva, prevaricação e corrupção ativa.",c,2018
"Hamilton resolve chamar um táxi pelo aplicativo do celular a fim de conduzi-lo até determinado endereço. Após ingressar no veículo, Hamilton recebe uma ligação em seu telefone, ocasião em que diz a pessoa que está do outro lado da linha que está se dirigindo até o endereço do amante de sua esposa a fim de matá-lo. O motorista do táxi, mesmo após ouvir a conversa de seu passageiro, o conduz até seu destino. No dia seguinte, o motorista toma conhecimento pelo noticiário televisivo de que Hamilton realmente matou o amante de sua mulher. Diante do caso hipotético, o taxista",a) responderá pelo crime de homicídio doloso como partícipe. | b) responderá pelo crime de homicídio doloso como coautor. | c) responderá pelo crime de homicídio culposo. | d) responderá pelo crime de favorecimento pessoal. | e) não responderá por nenhum crime.,e,2018
"É correto afirmar que,","a) segundo entendimento hoje unânime nas duas turmas de competência criminal do Superior Tribunal de Justiça, o descumprimento de ordem judicial imposta sob o título de medida protetiva no âmbito da Lei nº 11.340/2006 (Lei Maria da Penha)  não implica a prática das condutas típicas de desobediência dispostas nos artigos 330 ou 359 do Código Penal. | b) segundo entendimento hoje vigente no âmbito do Supremo Tribunal Federal, o tráfico de drogas cometido na vigência da Lei nº 8.072/1990, em qualquer de suas versões, é crime assemelhado a hediondo. | c) para a jurisprudência do Superior Tribunal de Justiça, a consumação do roubo reclama a posse pacífica e indisputada da coisa pelo agente. | d) a jurisprudência do Supremo Tribunal Federal não admite a aplicação do chamado princípio da insignificância penal para o crime de descaminho. | e) segundo a jurisprudência assentada no âmbito da 3ª Seção do Superior Tribunal de Justiça, não subsiste o crime de desacato tipificado no artigo 331 do Código Penal no ordenamento jurídico brasileiro, posto que incompatível com o direito de liberdade de expressão e crítica.",a,2017
"José, 60 anos, gerente do empreendimento de construção Verbo, adotava a praxe empresarial de efetuar pagamento extra-folha (por fora) de parte dos salários dos empregados, com registro nos títulos de contabilidade da empresa e realização de recolhimentos previdenciários somente no que se refere aos valores consignados nos recibos principais. Verificado o panorama em ação trabalhista, o Juiz do Trabalho determinou o envio de ofício às esferas fiscal e criminal, para conhecimento e análise, sendo iniciada a ação fiscal, com notificação do lançamento do tributo. Nessa situação hipotética,","a) haverá extinção de punibilidade se José, ainda que iniciada ação fiscal, efetuar a correção interna dos livros de contabilidade antes da sentença condenatória criminal. | b) a idade de sessenta anos, na data de eventual sentença condenatória criminal, beneficiará José como circunstância atenuante da pena. | c) as condutas protagonizadas por José, embora denotem irregularidades trabalhistas, não são previstas como tipos penais. | d) há configuração da conduta típica prevista no art. 337-A, III, do Código Penal, consistente em sonegação de contribuição previdenciária. | e) o crime de sonegação de contribuição previdenciária é de natureza formal, prescindindo de resultado para sua consumação.",d,2017
"Com relação ao sistema nacional de políticas públicas sobre drogas e, ainda, com base na Lei nº 11.343/2006, considere:I. A lei descriminalizou a conduta de quem adquire, guarda, tem em depósito, transporta ou traz consigo, para consumo pessoal, drogas em autorização ou em desacordo com determinação legal ou regulamentar. Dessa forma, o usuário de drogas é isento de pena, submetendo-se, apenas, a tratamento para recuperação.II. Constitui causa de aumento de pena no crime de tráfico de drogas o emprego de arma de fogo.III. Equipara-se ao usuário de drogas, aquele que, eventualmente e sem objetivo de obter lucro, oferece droga a pessoa de seu relacionamento, para juntos a consumirem ou, ainda, quem induz, instiga ou auxilia alguém ao uso indevido.IV. O indiciado ou acusado que colaborar voluntariamente com a investigação policial e o processo criminal na identificação dos demais coautores ou partícipes do crime e na recuperação total ou parcial do produto do crime, no caso de condenação, terá pena reduzida de um terço a dois terços.Está correto o que se afirma APENAS em","a) I, III e IV. | b) I e III. | c) II e III. | d) II e IV. | e) I e II.",d,2017
"Guilherme, médico legista, responsável por elaborar o laudo de exumação de Danilo, em investigação de morte suspeita, é procurado por Rodrigo que, temendo ser acusado de homicídio contra a vítima, oferece suborno para que Guilherme afirmasse falsamente que a morte se deu por causas naturais. O médico aceita a promessa de pagamento e conclui o laudo, a despeito de extensas evidências de agressões físicas, no sentido de que Danilo morreu em decorrência de problemas cardíacos. Passadas algumas semanas, Guilherme, arrependido de sua conduta, procura o juiz responsável pelo processo e se retrata, declarando que a morte da vítima ocorreu em virtude das lesões corporais sofridas, antes de ser proferida a sentença. Diante dessa situação hipotética,","a) Guilherme responderá pelo crime de falsa perícia, ainda que tenha se retratado, com a pena aumentada de um sexto a um terço, por ter praticado o delito com o fim de obter prova destinada a produzir efeito em processo penal. | b) a conduta de Guilherme não será punível por ter se retratado antes da sentença no processo em que ocorreu a falsa perícia. | c) Guilherme terá sua pena diminuída de um a dois terços por ter se retratado antes da sentença. | d) Guilherme somente teria sua pena diminuída se tivesse se retratado antes do início da ação penal. | e) Guilherme, embora tenha se retratado, responderá pelo crime de falsa perícia, sem qualquer diminuição de pena.",b,2017
