Perguntas,Alternativas,Resposta,Ano
"Regra geral prevista no Código de Processo Civil determina que os atos processuais sejam realizados em dias úteis, das seis às vinte horas. Com relação aos tempos dos atos processuais, assinale a opção correta, conforme a legislação pertinente.","a) A prática eletrônica de ato processual poderá ocorrer até as vinte e quatro horas do último dia do prazo. | b) Em se tratando de prática eletrônica de ato processual, o horário a ser considerado será aquele vigente no juízo que emitiu o ato. | c) Durante as férias forenses, atos processuais de tutela de evidência podem ser praticados. | d) Ato processual iniciado antes das vinte horas não poderá ser concluído após esse horário, independentemente de o adiamento causar grave dano aos envolvidos no processo. | e) Apenas com autorização judicial as citações poderão ser realizadas durante as férias forenses.",a,2018
"Após encerrar a instrução de determinado processo, a juíza do caso foi removida para outra vara. O juiz substituto que assumiu a vara apreciou o referido processo, já instruído, e proferiu julgamento antecipado parcial do mérito de um dos pedidos da inicial, por ser incontroverso.3Com relação a essa situação hipotética, assinale a opção correta.","a) Ainda que interponha recurso, a parte deverá executar, desde logo e mediante prévia caução, a obrigação reconhecida pela decisão do juiz substituto. | b) A decisão do juiz substituto não poderá ser considerada nula com base no princípio da identidade física do juiz. | c) Contra a decisão proferida pelo juiz substituto caberá interposição de recurso de apelação. | d)  A decisão do juiz substituto não pode ter reconhecido obrigação ilíquida. | e) O juiz substituto deveria ter designado audiência de instrução e julgamento para apurar o pedido.",b,2018
"À luz do Código de Processo Civil e da doutrina pertinente, julgue o item a seguir, acerca dos recursos extraordinário e especial.
Situação hipotética: Determinado tribunal de justiça prolatou um acórdão que possui dois capítulos distintos, um, com fundamento constitucional, e outro, com fundamento infraconstitucional referente à aplicação de lei federal. Assertiva: Nessa situação, se a parte vencida interpuser apenas recurso especial, o Superior Tribunal de Justiça deverá considerá-lo inadmissível, porque a decisão recorrida estaria assentada em fundamentos de mais de uma natureza.",Errado | Certo,e,2018
"A respeito da repercussão geral da questão constitucional e do mandado de segurança, julgue o item que se segue.Haverá repercussão geral sempre que o recurso extraordinário atacar decisão contrária à súmula ou à jurisprudência dominante do Supremo Tribunal Federal.",Errado | Certo,c,2018
"À luz do Código de Processo Civil e da doutrina pertinente, julgue o item a seguir, acerca dos recursos extraordinário e especial.Ressalvada a possibilidade de oposição de embargos de declaração, será irrecorrível a decisão do Supremo Tribunal Federal que não conhecer do recurso extraordinário por considerar que a questão constitucional arguida pelo recorrente não atende à repercussão geral.",Errado | Certo,c,2018
É possível a utilização de mandado de segurança para impugnar,"a) ato de gestão comercial praticado por empresa pública. | b) ato normativo que possua efeitos concretos. | c) sentença transitada em julgado que tenha sido prolatada por juiz impedido. | d) ato sujeito a recurso administrativo com efeito suspensivo que não exija caução. | e) qualquer decisão judicial liminar, desde que demonstrada a urgência do impetrante.",b,2018
"No que concerne ao mandado de injunção, a ação de improbidade administrativa e a ação civil pública, julgue os seguintes itens.I - Ao tratar das chamadas condições da ação, o atual CPC expressamente se refere a três espécies distintas denominadas de legitimidade, interesse em agir e possibilidade jurídica do pedido.II - Pode ser utilizada a denominada ação declaratória para interpretação de tese ou questão de direito em abstrato, ou ainda para confirmar a ocorrência de qualquer fato ocorrido na vida do autor.III - Denomina-se de sucessor processual o terceiro que assume o lugar da parte que vier a falecer no curso de processo que tenha como objeto direito patrimonial transmissível.Assinale a opção correta.",a) Apenas o item I está certo. | b) Apenas o item III está certo. | c) Apenas os itens I e II estão certos. | d) Apenas os itens II e III estão certos. | e) Todos os itens estão certos.,b,2018
"Julgue o item a seguir, relativos à função jurisdicional.O pedido passivo de cooperação jurídica internacional é aquele realizado por órgão estrangeiro.",Errado | Certo,c,2018
"Com referência às normas fundamentais do processo civil, julgue o item a seguir.O exercício do direito ao contraditório compete às partes, cabendo ao juiz zelar pela efetividade desse direito.",Errado | Certo,c,2018
"À luz das disposições do Código de Processo Civil (CPC), julgue o próximo item.De acordo com o Superior Tribunal de Justiça, as regras sobre honorários de sucumbência estabelecidas no atual CPC se aplicam somente aos processos judiciais que se iniciaram após a entrada em vigor desse código.",Errado | Certo,e,2018
"A respeito da jurisdição, julgue o item que se segue.O princípio do juiz natural, ao impedir que alguém seja processado ou sentenciado por outra que não a autoridade competente, visa coibir a criação de tribunais de exceção.",Errado | Certo,c,2018
"Acerca dos atos processuais, julgue o seguinte item.Decisão interlocutória consiste no ato pelo qual o juiz põe fim à fase cognitiva do procedimento comum.",Errado | Certo,e,2018
"Julgue o próximo item, relativo aos deveres e às responsabilidades dos sujeitos do processo.O oficial de justiça goza de proteção legal no sentido de não ser responsabilizado civil ou regressivamente em razão da recusa de cumprimento, no prazo estipulado, de atos determinados pela lei ou pelo juiz.",Errado | Certo,e,2018
"Em um processo civil cooperativo, o exercício do poder jurisdicional exige a consideração da argumentação de todos os sujeitos processuais. Essa exigência corresponde",a) ao dever de tratar de forma isonômica as partes. | b) ao dever de boa-fé processual. | c) à obrigação de determinar que o autor emende a inicial antes de indeferi-la. | d) à oportunidade conferida pelo juiz ao autor para sanar vício relativo a alguma incapacidade processual. | e) ao dever de justificar analiticamente as decisões judiciais.,e,2018
