Perguntas,Alternativas,Resposta,Ano
"Em relação à citação, é correto afirmar:","a) Para a validade do processo é indispensável a citação do réu ou do executado, em qualquer hipótese. | b) A juntada aos autos de procuração com poderes para receber citação equivale ao comparecimento espontâneo do réu, desde que tenha o advogado a potencial possibilidade de ter acesso aos autos do processo. | c) É anulável a citação feita sem obediência às formalidades legais. | d) O juiz não pode, de ofício, reconhecer a falta ou nulidade da citação, dependendo de provocação da parte nesse sentido, em obediência ao princípio da inércia jurisdicional. | e) A citação será sempre pessoal, por se tratar de ato formal e solene, não podendo em nenhuma hipótese ser realizada na pessoa de terceiros, ainda que representantes legais, neste último caso excepcionada a citação na figura dos pais, curadores ou tutores de incapazes.",b,2018
"A lei processual define a citação como o ato pelo qual são convocados o réu, o executado ou o interessado para integrar a relação processual. A citação será","a) nula e ineficaz mesmo que o réu ou o executado tenham comparecido espontaneamente no processo. | b) indispensável para a validade do processo, devendo ser o réu citado sempre, sem exceção. | c) sempre pessoal, por ser ato formal e solene, que não admite outra forma de efetivação. | d) válida, ainda quando ordenada por juízo incompetente, induzindo a litispendência, tornando litigiosa a coisa e constituindo em mora o devedor, nesse caso com as ressalvas da lei civil. | e) efetuada em qualquer circunstância, salvo apenas se o citando for mentalmente incapaz ou esteja impossibilitado de receber o ato citatório.",d,2018
"Em relação às ações de manutenção e reintegração de posse, a legislação vigente estabelece:","a) Desde que concedido o mandado liminar de manutenção ou de reintegração, o autor promoverá, nos dez dias subsequentes, a citação do réu para, querendo, contestar a ação no prazo de quinze dias. | b) Estando a petição inicial respectiva devidamente instruída, o juiz deferirá, apenas após ouvido o réu, a expedição do mandado liminar de manutenção ou de reintegração, intimando-se o réu para comparecer à audiência que for designada. | c) Estando a petição inicial devidamente instruída, o juiz deferirá, sem ouvir o réu, a expedição do mandado liminar de manutenção ou de reintegração, caso contrário, determinará que o autor justifique previamente o alegado, citando-se o réu para comparecer à audiência que for designada. | d) No litígio coletivo pela posse de imóvel, quando o esbulho ou a turbação houver ocorrido há menos de ano e dia, o juiz, antes de apreciar o pedido de concessão liminar, designará audiência de mediação, a realizar-se em até 60 dias. | e) É lícito ao autor cumular ao pedido possessório o de indenização dos frutos, mas não o de perdas e danos, que deve ser pleiteado por ação autônoma por exigir o procedimento ordinário.",c,2018
"No cumprimento definitivo da sentença que reconhece a exigibilidade de obrigação de pagar quantia certa, em relação à impugnação, é correto afirmar:","a) As questões relativas a fato superveniente ao término do prazo para sua apresentação, assim como aquelas relativas à validade e à adequação da penhora, da avaliação e dos atos executivos subsequentes, podem ser arguidas por simples petição, tendo o executado, em qualquer dos casos, o prazo de quinze dias para formular esta arguição, contado da comprovada ciência do fato ou da intimação do ato. | b) Se atribuído apenas efeito devolutivo à impugnação, e somente nessa hipótese, é licito ao exequente requerer o prosseguimento da execução, oferecendo e prestando nos próprios autos, caução suficiente e idônea a ser arbitrada pelo juiz. | c) A concessão de efeito suspensivo à impugnação deduzida por um dos executados sempre suspenderá a execução também contra os que não impugnaram, por questão de isonomia processual. | d) É defeso ao réu, antes de ser intimado para o cumprimento da sentença, comparecer em juízo e oferecer em pagamento o valor que entender devido, apresentando memória discriminada do cálculo. | e) A concessão do efeito suspensivo à impugnação obsta à efetivação dos atos de substituição, de reforço ou de redução da penhora e de avaliação de bens, mantendo-se como válida porém a constrição já ocorrida.",a,2018
"A fim de agilizar o curso dos processos em sua Comarca, um dos juízes de Jundiaí determina que os prazos para contestação nas ações de procedimento ordinário serão de dez dias. Faz isso de forma geral, unilateralmente, e a circunstância passa a constar em todos os mandatos de citação, para que o réu não alegue ignorância ou prejuízo.
Essa conduta, em face do Código de Processo Civil, é","a) equivocada processualmente, pois não é dado ao juiz reduzir nenhum prazo, em nenhuma hipótese, salvo se pleiteado pelas partes de comum acordo em negócio jurídico processual. | b) correta processualmente, pois prestigia o princípio da duração razoável do processo, mostrando-se irrelevante a natureza do prazo. | c) correta processualmente, uma vez que os réus estão cientificados dos mandados de citação e não podem alegar ignorância ou prejuízo. | d) correta processualmente, uma vez que se trata da redução de um prazo dilatório e não peremptório, não havendo assim necessidade de anuência das partes. | e) equivocada processualmente, pois é defeso ao juiz reduzir prazos peremptórios e sem anuência das partes.",e,2018
"Os princípios processuais da inércia da jurisdição, da isonomia e da primazia do mérito significam, respectivamente, que o Judiciário","a) só age, como regra, quando provocado pelas partes; deve o juiz tratar as partes com igualdade no processo; e deve, o juiz, priorizar a prestação da jurisdição julgando o mérito da ação, sempre que for possível suprindo e sanando irregularidades processuais. | b) age com menos eficiência do que deveria, mostrando-se inerte; o juiz deve tratar as partes com igualdade; e o juiz deve julgar com prioridade o mérito, sanando as irregularidades processuais sempre que possível. | c) só age quando provocado pelas partes; deve o juiz tratar as partes com base na lei, observando o contraditório e a ampla defesa; e somente quem tem mérito deve vencer o processo, não se permitindo privilégios a ninguém por sua condição pessoal. | d) deve vencer sua inércia, visando a tornar-se mais eficiente, em prol da sociedade; deve o juiz tratar as partes com igualdade; e o mérito do pedido deve prevalecer, devendo o juiz suprir e sanar irregularidades em qualquer ocasião. | e) só age, como regra, quando provocado pelas partes; o juiz deve ser imparcial e observar o contraditório e a ampla defesa; e o pedido de maior mérito deve ser julgado procedente pelo juiz.",a,2018
"Quanto às tutelas provisórias, é correto afirmar:","a) A tutela de urgência de natureza antecipada independe e não se vincula ao perigo de irreversibilidade dos efeitos da decisão. | b) Não mais existe a tutela de urgência de natureza cautelar no ordenamento processual civil, subsistindo apenas a tutela de urgência antecipatória e a tutela de evidência. | c) Para conceder a tutela de urgência, o juiz deve exigir caução real ou fidejussória, em nenhuma hipótese podendo dispensá-la se do ato potencialmente ocorrerem danos de difícil reparação à parte adversa. | d) A concessão de tutela de urgência em caráter liminar não pode ocorrer sem justificação prévia, ainda que sem a citação da parte contrária. | e) Independentemente da reparação por dano processual, a parte responde pelo prejuízo que a efetivação da tutela de urgência causar à parte adversa se, entre outras hipóteses, o juiz acolher a alegação de decadência ou prescrição da pretensão do autor.",e,2018
"Considere as afirmações a seguir, que concernem à produção das provas processuais.
I. Os fatos afirmados por uma parte e confessados pela parte contrária, bem como os notórios, necessitam ser provados nos autos.
II. O juiz poderá admitir a utilização de prova produzida em outro processo, atribuindo-lhe o valor que considerar adequado, observado o contraditório.
III. Caberá ao juiz, de ofício ou a requerimento da parte, determinar as provas necessárias ao julgamento do mérito, indeferindo, em decisão fundamentada, as diligências inúteis ou meramente protelatórias.
IV. As partes têm o direito de empregar todos os meios legais, bem como os moralmente legítimos, desde que especificados na norma processual civil, para provar a verdade dos fatos em que se funda o pedido e influir eficazmente na convicção do juiz.
V. A distribuição do ônus da prova pode ocorrer de forma diversa pela vontade das partes, desde que a convenção respectiva seja celebrada durante o curso do processo, necessariamente.
Está correto o que se afirma APENAS em","a) III, IV e V. | b) I, II e V. | c) II, III e V. | d) II e III. | e) I e IV.",d,2018
"Em relação às modificações de competência,","a) o foro contratual eleito pelas partes é personalíssimo e, portanto, não obriga os herdeiros e sucessores das partes. | b) a determinada em razão da matéria, da pessoa ou do valor é inderrogável por convenção das partes. | c) quando houver continência e a ação continente houver sido proposta anteriormente, no processo relativo à ação contida será proferida sentença sem resolução de mérito, caso contrário, as ações serão necessariamente reunidas. | d) a abusividade da cláusula de eleição de foro deve ser alegada pela parte a quem aproveita, não podendo ser examinada de ofício pelo juiz, salvo em relações consumeristas. | e) serão reunidos para julgamento conjunto os processos que possam gerar risco de prolação de decisões conflitantes ou contraditórias caso decididos separadamente, desde que haja conexão entre eles.",c,2018
"No tocante aos prazos processuais, a legislação vigente estabelece:","a) Decorrido o prazo, extingue-se o direito de praticar ou de emendar o ato processual, independentemente de declaração judicial, ficando assegurado, porém, à parte provar que não o realizou por justa causa. | b) A parte poderá renunciar ao prazo estabelecido em favor da parte contrária ou exclusivamente em seu favor, de maneira expressa ou tacitamente. | c) O juiz proferirá tanto as sentenças como as decisões interlocutórias no prazo de dez dias. | d) Salvo disposição em contrário, os prazos serão contados incluindo o dia do começo e excluindo o do vencimento. | e) Ao juiz é vedado reduzir ou ampliar prazos, peremptórios ou dilatórios, sem anuência das partes, por se tratar de aspecto vinculado aos negócios processuais.",a,2018
