Perguntas,Alternativas,Resposta,Ano
"André e Bruno, companheiros de cela em determinada penitenciária, são assistidos pela Defensoria Pública do Estado de Pernambuco. André cumpre pena de seis anos por furto qualificado e tem como antecedente criminal uma condenação de um ano e oito meses por crime culposo, já cumprida. Bruno, por sua vez, cumpre pena de nove anos por tráfico de drogas e não possui antecedentes criminais.Considerando essa situação hipotética, assinale a opção correta a respeito do livramento condicional de André e Bruno.","a) Bruno não fará jus ao livramento condicional, uma vez que foi condenado por crime equiparado a crime hediondo. | b) Caso André cometa falta grave no cumprimento da pena, o prazo para seu livramento condicional será interrompido. | c) A concessão do benefício do livramento condicional a André dependerá de ele cumprir um terço da pena e a Bruno de ele cumprir dois terços da pena. | d) Apesar de ser hipossuficiente, André será beneficiado com o livramento condicional somente se reparar o dano causado em decorrência da prática do furto qualificado. | e) Por ser reincidente, André atenderá ao requisito temporal para o livramento condicional apenas após ter cumprido metade da pena.",c,2018
"Assinale a opção correta, acerca da duração razoável do processo e do excesso de prazo nas prisões cautelares e da autuação e da documentação da prisão e do interrogatório, conforme entendimento dos tribunais superiores.","a) O relaxamento da prisão preventiva por excesso de prazo impede a sua posterior decretação, mesmo diante de outros fundamentos explicitados na sentença. | b) Finalizada a instrução processual, a demora posterior e não justificada não configura constrangimento ilegal por excesso de prazo. | c) O excesso de prazo entre a prisão cautelar e a sentença de pronúncia não pode ser desconsiderado, mesmo que, após esse ato processual, nenhum constrangimento ilegal tenha sido verificado. | d) Diante da superveniência de sentença condenatória, estará prejudicada questão referente ao excesso de prazo da prisão cautelar. | e) O excesso de prazo para o oferecimento da denúncia configura hipótese de constrangimento ilegal, não sendo superado pelo recebimento da denúncia.",d,2018
"Tendo como referência as disposições legais do Código de Processo Penal sobre citações e intimações, assinale a opção correta.","a) Estando o réu no estrangeiro, em local sabido, a sua citação será feita por carta rogatória, não havendo necessidade de suspensão do prazo prescricional. | b) Ainda que citado por edital, em caso de posterior comparecimento do acusado, deverá ele ser citado pessoalmente, sob pena de nulidade. | c) No caso de citação por edital, se o acusado não comparecer e não constituir advogado, o processo poderá prosseguir seu curso normal, desde que para ele seja nomeado defensor público. | d) É válida a citação por edital que mencione o dispositivo da lei penal que fundamenta a imputação ao acusado, embora não transcreva o conteúdo da denúncia. e) Estando completa a citação por hora certa, caso o acusado não apresente resposta escrita no prazo legal, o processo e o prazo prescricional serão suspensos.",d,2018
"No tocante à ação penal, conforme determina a lei processual, assinale a opção correta.","a) Nos crimes de ação privada ou de ação pública condicionada à representação do ofendido, se este falecer no curso da lide, o juiz terá de nomear substituto processual para prosseguir com a ação. | b) Depois de iniciada a ação penal condicionada à representação, o processo será extinto se o ofendido, a qualquer tempo, desistir do seu prosseguimento. | c) A queixa-crime oferecida pelo ofendido nos crimes de ação penal privada não poderá ser aditada pelo Ministério Público, que atuará no processo apenas como fiscal da lei. | d) Nos crimes de ação privada, se vários forem os autores da ofensa, o ofendido poderá escolher contra quem oferecerá a denúncia. | e) A própria vítima do crime, ou seu representante legal, poderá propor a ação nos casos de ação pública incondicionada, se o Ministério Público não apresentar a denúncia no prazo legal.",e,2018
"Ao tomar conhecimento da prática de uma infração penal, caberá à autoridade policial,I dirigir-se ao local, onde deve providenciar para que não se alterem o estado e a conservação das coisas até a chegada dos peritos criminais. II informar o fato de pronto ao Ministério Público, ao qual compete fiscalizar o trabalho policial. III proceder a diligências no sentido de apurar as circunstâncias do fato criminoso e identificar a autoria provável. IV encerrar a investigação quando não for possível identificar um suspeito dentro de prazo razoável.Estão certos apenas os itens","a) I e II. | b) I e III. | c) III e IV. | d) I, II e IV. | e) II, III e IV",b,2018
A prisão preventiva poderá ser decretada,"a) quando os indícios de autoria e prova da materialidade forem insuficientes para assegurar a aplicação da lei penal. | b) nos crimes de violência doméstica e familiar contra o idoso, para assegurar a execução de medidas protetivas de urgência. | c) em qualquer fase do inquérito policial, mediante ato da autoridade policial. | d) quando o agente for reincidente específico, por sentença transitada em julgado, em crime culposo, dentro do período depurador. | e) nos crimes dolosos punidos com pena máxima inferior a quatro anos.",b,2018
"Considere que os seguintes fatos sejam adicionais à situação hipotética descrita no texto 1A2AAA.Entre as várias diligências realizadas envolvendo Maria, que redundaram em sua prisão por tráfico de maconha, a autoridade policial cogitou obter autorização para quebra de seu sigilo de comunicação telefônica como meio de prova na investigação criminal.Considerando-se a situação hipotética descrita no texto 1A2AAA e as informações adicionais anteriormente apresentadas, é correto afirmar, com relação à interceptação telefônica no inquérito policial, que","a) somente a autoridade policial poderá requerer a interceptação telefônica de Maria na fase do inquérito policial. | b) as gravações que não interessarem ao caso terão de ser inutilizadas por determinação da autoridade policial. | c) o material colhido na intercepção, caso seja autorizada, terá de ser autuado em apartado e apensado de forma sigilosa ao inquérito policial, anteriormente ao relatório da autoridade policial. | d) será prescindível cláusula de reserva jurisdicional para sua autorização, porque o delito cometido é de natureza hedionda. | e) será viável a sua realização na investigação do crime hediondo, mesmo que fossem incertos os indícios de autoria.",c,2018
O habeas corpus é o instrumento jurídico correto para,"a) impugnar ato monocrático de ministro do Supremo Tribunal Federal. | b) trancar ação de impeachment. | c) discutir a legalidade de medida protetiva de vítima de violência doméstica. | d) discutir o direito de ir e vir, desde que o habeas corpus seja patrocinado por advogado constituído. | e) discutir o direito de visita a presidiários.",c,2018
"Com referência à ação penal, assinale a opção correta.","a) Nos procedimentos regulados pela Lei Maria da Penha, a renúncia à representação da ofendida é condicionada à realização de audiência prévia para tal fim. | b) No sistema processual penal pátrio, inexiste ação penal que dependa da requisição do ministro da justiça. | c) Na ação penal pública condicionada, a representação deve respeitar rigoroso formalismo, por ser isso condição específica da persecução penal. | d) O ordenamento pátrio não contempla a hipótese de ação privada personalíssima. | e) A renúncia ao direito de queixa e o perdão do ofendido não possuem características diferentes.",a,2018
"Acerca do inquérito policial, do acusado e seu defensor e da ação penal, julgue o item que se segue.Em se tratando de crimes que se processam mediante ação penal pública incondicionada, o inquérito policial poderá ser instaurado de ofício pela autoridade policial.",Errado | Certo,c,2018
"Julgue o item que se segue, relativo à comunicação dos atos processuais penais.É atribuição do oficial de justiça a citação por hora certa — que tem os mesmos efeitos da citação pessoal —, quando ele verificar que o réu se oculta para não ser citado.",Errado | Certo,c,2018
"Considerando a jurisprudência dos tribunais superiores e a doutrina acerca dos procedimentos especiais e das nulidades no processo penal, julgue o item que se segue.A falta de intimação do recorrido para apresentar resposta a recurso interposto é hipótese de nulidade absoluta, mesmo que, a despeito de não ter sido intimado, ele apresente as contrarrazões ao recurso aviado.",Errado | Certo,e,2018
"No que se refere aos tipos de prisão e aos meios processuais para assegurar a liberdade, julgue o seguinte item.
Membro do Ministério Público não tem legitimidade ativa para impetrar habeas corpus, mesmo que constate alguma das hipóteses de ilegalidade na prisão do autor do delito.",Errado | Certo,e,2018
"A respeito dos procedimentos de investigação, julgue o item que se segue.O inquérito policial tem caráter inquisitório, dispensando a ampla defesa e o contraditório, motivo pelo qual os elementos de informação nele documentados não são disponibilizados ao defensor do investigado.",Errado | Certo,e,2018
"Julgue o item a seguir, relativos à competência para processar e julgar ações penais.O juiz poderá desmembrar o processo quando houver excessivo número de acusados ou quando as infrações tiverem sido praticadas em circunstâncias de tempo ou de lugar diferentes.",Errado | Certo,c,2018
