Perguntas,Alternativas,Resposta,Ano
"A fiança, instituto classicamente atrelado pela doutrina à liberdade provisória, está atualmente regulada pelo Código de Processo Penal do artigo 321 ao 350, e, segundo a doutrina, consiste em uma caução, uma garantia real, prestada geralmente em dinheiro, que tem como objetivos principais a colocação do indiciado ou do acusado em liberdade e, ainda, em vincular o afiançado ao processo, obrigando-o ao comparecimento em seus atos. Diante de tais considerações,","a) depois de prestada a fiança, que será concedida independentemente de audiência do Ministério Público, este terá vista do processo a fim de requerer o que julgar conveniente. | b) é possível a concessão de fiança ainda quando presentes os motivos que autorizam a decretação da prisão preventiva. | c) é possível a concessão de fiança no crime de tráfico ilícito de entorpecentes e drogas afins. | d) a autoridade policial somente poderá conceder fiança nos casos de infração cuja pena privativa de liberdade máxima não seja superior a 2 anos. | e) é possível a concessão de fiança em caso de prisão civil.",a,2018
"O Código de Processo Penal, bem como o entendimento sumulado do Supremo Tribunal Federal e do Superior Tribunal de Justiça, acerca do Inquérito Policial, dispõe:","a) Arquivado o inquérito policial, por despacho do juiz, a requerimento do promotor de justiça, é possível a ação penal ser reiniciada, ainda que sem novas provas, desde que não prescrito o crime. | b) É direito do defensor, no interesse do representado, ter acesso amplo aos elementos de prova que, já documentados em procedimento investigatório realizado por órgão com competência de polícia judiciária, digam respeito ao exercício do direito de defesa. | c) Para verificar a possibilidade de a infração ter sido praticada de determinado modo, a autoridade policial poderá proceder à reprodução simulada dos fatos, ainda que esta contrarie a moralidade ou a ordem pública, tendo em vista o princípio da obrigatoriedade. | d) O ofendido, ou seu representante legal, e o indiciado não possuem legitimidade para requerer diligências para a autoridade policial, tendo em vista o princípio da oficialidade. | e) Nos crimes de ação privada, a autoridade policial poderá proceder a inquérito, ainda que não haja requerimento de quem tenha qualidade para intentá-la, uma vez que tal exigência somente é necessária para a proposição da ação penal.",b,2018
"Segundo o que dispõe a legislação, bem como o entendimento sumulado do Supremo Tribunal Federal e do Superior Tribunal de Justiça acerca dos recursos no Processo Penal brasileiro, é correto afirmar:","a) É possível que o tribunal reconheça, de ofício, eventual nulidade em prejuízo do réu, mesmo que ela não tenha sido arguida no recurso interposto pela acusação. | b) A renúncia do réu ao direito de apelação, manifestada sem a assistência do defensor, impede o conhecimento da apelação por este interposta. | c) É possível, por razões de conveniência e oportunidade, o Ministério Público desistir de recurso que haja interposto. | d) O recurso será interposto por petição ou por termo nos autos, assinado pelo recorrente ou por seu representante. | e) No caso de concurso de agentes, a decisão do recurso interposto por um dos réus, ainda que fundado em motivos de caráter exclusivamente pessoal, aproveitará aos demais.",d,2018
"Em decorrência do princípio da ampla defesa, bem como do devido processo legal, previstos, inclusive, pela Constituição Federal, é imprescindível que os acusados sejam cientificados da existência do processo e de seu desenvolvimento. Sobre as citações e intimações, o Código de Processo Penal dispõe:","a) A citação inicial far-se-á pelo correio, quando o réu estiver no território sujeito à jurisdição do juiz que a houver ordenado. | b) Quando o réu estiver fora do território da jurisdição do juiz processante, será citado mediante carta de ordem. | c) A citação por hora certa não é prevista no processo penal. | d) As citações que houverem de ser feitas em legações estrangeiras (embaixadas e consulados)  serão efetuadas mediante carta precatória. | e) O dia designado para funcionário público comparecer em juízo, como acusado, será notificado assim a ele como ao chefe de sua repartição.",e,2018
"Estabelece a Lei de Execução Penal que, durante a execução da pena, sobrevindo doença mental no condenado,",a) poderá ter a pena diminuída de 1/3 a 2/3. | b) terá a sua pena substituída por medida de segurança. | c) será internado em Hospital de Custódia e Tratamento Psiquiátrico. | d) terá o restante da pena remida e deverá submeter-se a tratamento psiquiátrico ambulatorial. | e) deverá ser submetido a perícia médico-legal para apurar a sua periculosidade.,c,2017
"Segundo a Lei de Execução Penal, o preso, condenado com trânsito em julgado, poderá ter a execução da sua pena fiscalizada por meio da monitoração eletrônica, quando o juiz","a) fixar o regime aberto para cumprimento da pena e o dispensar do recolhimento ao estabelecimento penal no período noturno e nos dias de folga. | b) aplicar pena restritiva de liberdade a ser cumprida nos regimes aberto ou semiaberto, ou conceder progressão para tais regimes. | c) aplicar pena restritiva de direitos que estabeleça limitação de horários ou de frequência a determinados lugares. | d) conceder o livramento condicional ou a suspensão condicional da pena. | e) autorizar a saída temporária no regime semiaberto ou determinar a prisão domiciliar.",e,2017
"A Lei nº 11.343/2006 – Lei de Drogas, estabelece em seu art. 59 – Nos crimes previstos nos arts. 33, caput e § 1º , e 34 a 37 desta Lei, o réu não poderá apelar sem recolher-se à prisão, salvo se for primário e de bons antecedentes, assim reconhecido na sentença condenatória.Este dispositivo legal","a) foi declarado inconstitucional pelo Supremo Tribunal Federal. | b) estabeleceu modalidade de prisão preventiva visando a garantia da ordem pública e assegurar a aplicação da lei penal. | c) é incompatível com a regra do Código de Processo Penal que determina que o juiz, ao proferir a sentença condenatória, decidirá, fundamentadamente, sobre a manutenção ou a imposição de prisão preventiva. | d) somente poderá ser aplicado no caso de sentença penal condenatória que impuser o regime inicial de cumprimento da pena fechado. | e) é modalidade de execução provisória da pena privativa de liberdade aplicada ao réu.",c,2017
O exame de corpo de delito,"a) é dispensável nos crimes que deixam vestígios. | b) deve ser feito imediatamente para que não se percam os vestígios do crime, o que veda a indicação de assistente técnico pelas partes. | c) deve ser feito, em regra, pelo menos 2 horas após o óbito. | d) realiza-se sobre vestígios do corpo humano, havendo regime diverso para o exame sobre objetos e sobre reconhecimento de escritos. | e) pode ser rejeitado pelo juiz, no todo ou em parte.",e,2017
"No âmbito do inquérito policial, incumbe à autoridade policial",a) arquivar o inquérito policial. | b) assegurar o sigilo necessário à elucidação do fato. | c) decretar a prisão preventiva. | d) presidir a audiência de custódia. | e) oferecer a denúncia.,b,2017
"O Código de Processo Penal dispõe que qualquer do povo poderá e as autoridades policiais e seus agentes deverão prender quem quer que seja encontrado em flagrante delito. Diante de tal contexto, é correto afirmar:","a) Em até 48 horas após a realização da prisão, será encaminhado ao juiz competente o auto de prisão em flagrante e, caso o autuado não informe o nome de seu advogado, cópia integral para a Defensoria Pública. | b) A prisão em flagrante deve ser relaxada quando a autoridade policial a considerar, fundamentadamente, ilegal. | c) Se a autoridade policial verificar que o agente praticou o fato acobertado por alguma excludente de ilicitude, poderá, fundamentadamente, conceder ao acusado liberdade provisória, mediante termo de comparecimento a todos os atos processuais, sob pena de revogação. | d) Apresentado o preso à autoridade competente, ouvirá esta o condutor e colherá, desde logo, sua assinatura, entregando a este cópia do termo e recibo de entrega do preso. Em seguida, procederá à oitiva das testemunhas que o acompanharem e ao interrogatório do acusado sobre a imputação que lhe é feita, colhendo, após cada oitiva suas respectivas assinaturas, lavrando, a autoridade, afinal, o auto. | e) Considera-se em flagrante delito quem é surpreendido na fase dos atos preparatórios da infração penal.",d,2017
